DT,GR,NPHI,RHOB,RT,DEPTH
,8.399,,,-1.280134165,213.9
,8.001,,,-1.194022473,214
,8.4,,,-1.174414002,214.1
,8.199,,,-1.194022473,214.2
,7.8,,,-0.921303274,214.3
,7.9,,,-0.834710745,214.4
,7.701,,,-1.180907531,214.5
,8.302,,,-1.313043899,214.6
,9.301,,,-1.093624747,214.7
,9.701,,,-1.030019497,214.8
,10.299,,,-1.117795108,214.9
,9.9,,,-1.161552088,215
,10.098,,,-1.21402314,215.1
,9.099,,,-1.067113622,215.2
,8.503,,,-1.013352445,215.3
,9.802,,,-1.007857925,215.4
,10.8,,,-0.916290732,215.5
,10.7,,,-0.91130319,215.6
,10.6,,,-0.867500568,215.7
,10.4,,,-0.939047719,215.8
,10.199,,,-0.884307686,215.9
,9.8,,,-1.114741671,216
,9.599,,,-1.030019497,216.1
,9.299,,,-0.94160854,216.2
,8.8,,,-0.889162064,216.3
,8.6,,,-1.046969056,216.4
,8.4,,,-0.972861083,216.5
,8.2,,,-0.928869514,216.6
,8.3,,,-0.417031744,216.7
,8.5,,,-1.15518264,216.8
,8.398,,,-0.691149178,216.9
,7.299,,,-0.891598119,217
,6.899,,,-0.095410185,217.1
,6.3,,,-1.207311706,217.2
,6.498,,,-0.906340401,217.3
,5.6,,,-1.32425897,217.4
,5.801,,,-1.262308381,217.5
,6.501,,,-0.95972029,217.6
,6.901,,,-1.142564176,217.7
,7.4,,,-0.921303274,217.8
,7.199,,,-0.891598119,217.9
,6.5,,,-1.041287222,218
,6.7,,,-0.901402119,218.1
,6.801,,,-0.723606388,218.2
,7.204,,,-0.709276562,218.3
,9.007,,,-0.717439873,218.4
,12.702,,,-1.044124103,218.5
,13.6,,,-1.075872802,218.6
,13.599,,,-1.148853505,218.7
,12.995,,,-0.983499482,218.8
,10.398,,,-1.087672349,218.9
,9.301,,,-1.366491734,219
,9.706,,,-1.313043899,219.1
,12.703,,,-1.394326533,219.2
,14.2,,,-1.347073648,219.3
,14.301,,,-1.461017907,219.4
,14.901,,,-1.410587054,219.5
,15.498,,,-1.422958345,219.6
,14.499,,,-1.406497068,219.7
,14.199,,,-1.190727578,219.8
,13.5,,,-1.316768298,219.9
,13.401,,,-0.918793862,220
,13.701,,,-0.913793852,220.1
,14.102,,,-0.791863153,220.2
,14.902,,,-0.827822084,220.3
,15.901,,,-0.823255866,220.4
,16.401,,,-0.825536369,220.5
,16.7,,,-0.896488105,220.6
,16.9,,,0.256191405,220.7
,17.102,,,0.350656872,220.8
,17.901,,,0.236651901,220.9
,18.299,,,0.303063174,221
,17.798,,,-0.446287103,221.1
,16.897,,,-1.343234872,221.2
,15.596,,,-0.839329691,221.3
,13.798,,,-0.059750004,221.4
,12.899,,,0.242161557,221.5
,12.199,,,-0.736054682,221.6
,11.498,,,-0.123298216,221.7
,10.701,,,0.442760893,221.8
,11.301,,,0.046883586,221.9
,12,,,0.766862218,222
,12.001,,,-0.097612829,222.1
,12.3,,,-0.070422464,222.2
,12.401,,,0.183986836,222.3
,12.901,,,0.439544422,222.4
,13.301,,,0.32570014,222.5
,13.6,,,0.222343231,222.6
,13.398,,,-0.121038328,222.7
,12.598,,,0.17479329,222.8
,11.499,,,0.178982656,222.9
,10.799,,,-0.112049504,223
,10.4,,,-0.231932057,223.1
,10.201,,,-0.36672528,223.2
,10.601,,,-0.295714244,223.3
,11.001,,,-0.176737179,223.4
,11.401,,,-0.376877651,223.5
,11.701,,,0.031498667,223.6
,12.101,,,0.599934799,223.7
,12.6,,,0.239803992,223.8
,12.499,,,0.225540676,223.9
,12.198,,,-0.054456186,224
,11.199,,,0.009950331,224.1
,10.5,,,-0.198450939,224.2
,10.299,,,-0.088831214,224.3
,9.798,,,-0.15082289,224.4
,8.901,,,-0.381260419,224.5
,9.199,,,-0.401971219,224.6
,8.5,,,-0.293029679,224.7
,8.4,,,-0.297059234,224.8
,8.302,,,-0.576253429,224.9
,9.2,,,-0.489390343,225
,9.3,,,-0.435408984,225.1
,9.203,,,-0.350976923,225.2
,10.604,,,0.088010877,225.3
,12.403,,,-0.069350078,225.4
,13.802,,,0.178982656,225.5
,14.601,,,0.207826847,225.6
,15.301,,,0.208638865,225.7
,15.699,,,0.237440856,225.8
,15.301,,,0.264669298,225.9
,15.7,,,0.321358599,226
,15.6,,,0.318453731,226.1
,15.801,,,0.193920693,226.2
,16.501,,,0.239803992,226.3
,17.2,,,0.045928932,226.4
,17.201,,,0.342880233,226.5
,17.499,,,0.265436464,226.6
,17.198,,,0.177309015,226.7
,16.399,,,0.14496577,226.8
,15.698,,,-0.0010005,226.9
,14.7,,,-0.07364654,227
,14.601,,,-0.14618251,227.1
,14.9,,,-0.287682072,227.2
,15.099,,,-0.271808723,227.3
,14.801,,,-0.277071893,227.4
,15.198,,,-0.038740828,227.5
,14.397,,,-0.393042588,227.6
,13.097,,,-0.317454231,227.7
,11.799,,,0.112435429,227.8
,11.299,,,0.555607767,227.9
,10.998,,,0.521765564,228
,10.2,,,0.33432708,228.1
,9.999,,,0.482426149,228.2
,9.5,,,0.451712359,228.3
,9.301,,,0.620038709,228.4
,9.999,,,0.245296356,228.5
,9.6,,,0.756591353,228.6
,9.6,,,0.522951804,228.7
,9.5,,,0.38865799,228.8
,9.401,,,0.477475644,228.9
,9.9,,,0.409457129,229
,10.1,,,-0.251028755,229.1
,10.301,,,0.267734435,229.2
,10.802,,,-0.525939262,229.3
,11.602,,,0.460584407,229.4
,12.502,,,0.893226792,229.5
,13.401,,,-0.634878272,229.6
,13.801,,,-0.050241216,229.7
,14.102,,,-0.114289146,229.8
,14.903,,,-0.060812139,229.9
,16.3,,,-0.050241216,230
,16.101,,,0.002995509,230.1
,16.601,,,0.171429116,230.2
,17.101,,,0.125751205,230.3
,17.701,,,0.199670195,230.4
,18.003,,,0.162118849,230.5
,19.401,,,0.099845335,230.6
,20.1,,,0.28442678,230.7
,20.101,,,0.231111721,230.8
,20.8,,,0.288181947,230.9
,20.697,,,0.572108852,231
,19.398,,,0.291923067,231.1
,18.496,,,0.548699276,231.2
,16.397,,,0.390013004,231.3
,14.799,,,0.803793701,231.4
,14.102,,,0.498955451,231.5
,15.299,,,0.85526603,231.6
,15,,,0.514020515,231.7
,15,,,0.711968935,231.8
,15.1,,,0.511025604,231.9
,15.098,,,0.563038495,232
,14.199,,,0.620576488,232.1
,13.7,,,0.825052251,232.2
,13.604,,,0.617884696,232.3
,15.604,,,0.649195293,232.4
,17.499,,,0.680061941,232.5
,16.897,,,0.277631737,232.6
,15.198,,,0.198850859,232.7
,14.301,,,0.414755155,232.8
,14.703,,,0.647103242,232.9
,16.002,,,0.655445313,233
,16.804,,,0.597186789,233.1
,18.604,,,0.728996833,233.2
,20.4,,,0.593326845,233.3
,20.5,,,0.593326845,233.4
,20.499,,,0.061095099,233.5
,19.799,,,-0.342490309,233.6
,19.499,,,-0.372514008,233.7
,19.099,,,-0.514164525,233.8
,18.799,,,-0.49265832,233.9
,18.399,,,-0.440056553,234
,17.999,,,-0.228156093,234.1
,17.699,,,-0.220646671,234.2
,17.299,,,-0.444725822,234.3
,16.999,,,-0.457284857,234.4
,16.599,,,-0.365283318,234.5
,16.199,,,-0.009040745,234.6
,15.902,,,0.433080275,234.7
,16.905,,,0.349952398,234.8
,19.403,,,-0.327116142,234.9
,20.902,,,-0.110931561,235
,21.9,,,-0.302457358,235.1
,21.898,,,-0.185125484,235.2
,20.904,,,0.268499253,235.3
,23.101,,,0.500775288,235.4
,23.697,,,0.488580015,235.5
,22.099,,,0.464362749,235.6
,21.599,,,0.439544422,235.7
,21.299,,,0.414755155,235.8
