DEPTH,GR,NPHI,RHOB,RT,DEPTH
3217.8,3.608,0.061,2.61,6.701,3217.8
3217.9,3.53,0.06,2.614,6.891,3217.9
3218.0,3.987,0.06,2.618,6.985,3218.0
3218.1,4.422,0.06,2.621,7.135,3218.1
3218.2,4.772,0.06,2.622,7.152,3218.2
3218.3,5.293,0.06,2.622,7.374,3218.3
3218.4,5.68,0.06,2.623,7.426,3218.4
3218.5,6.344,0.061,2.626,7.707,3218.5
3218.6,7.634,0.062,2.629,7.688,3218.6
3218.7,9.156,0.064,2.631,7.685,3218.7
3218.8,10.329,0.066,2.631,7.71,3218.8
3218.9,11.956,0.069,2.63,7.782,3218.9
3219.0,14.064,0.073,2.629,7.861,3219.0
3219.1,16.685,0.076,2.629,7.938,3219.1
3219.2,19.071,0.078,2.63,7.979,3219.2
3219.3,21.345,0.078,2.632,7.798,3219.3
3219.4,22.362,0.076,2.633,7.557,3219.4
3219.5,21.808,0.075,2.634,7.528,3219.5
3219.6,22.705,0.074,2.634,7.515,3219.6
3219.7,21.473,0.075,2.634,7.399,3219.7
3219.8,20.72,0.076,2.636,7.419,3219.8
3219.9,20.503,0.078,2.64,7.422,3219.9
3220.0,21.013,0.08,2.644,7.355,3220.0
3220.1,21.247,0.081,2.643,6.976,3220.1
3220.2,21.77,0.084,2.635,6.399,3220.2
3220.3,21.749,0.089,2.625,5.885,3220.3
3220.4,21.268,0.095,2.618,5.701,3220.4
3220.5,22.94,0.102,2.613,5.62,3220.5
3220.6,24.754,0.106,2.609,5.462,3220.6
3220.7,26.27,0.108,2.605,5.145,3220.7
3220.8,27.048,0.106,2.602,4.527,3220.8
3220.9,27.39,0.107,2.597,3.959,3220.9
3221.0,25.981,0.105,2.593,3.676,3221.0
3221.1,24.958,0.103,2.589,3.882,3221.1
3221.2,24.808,0.101,2.587,3.748,3221.2
3221.3,23.722,0.097,2.585,3.847,3221.3
3221.4,24.141,0.099,2.585,3.901,3221.4
3221.5,24.702,0.098,2.587,4.152,3221.5
3221.6,24.013,0.097,2.588,4.21,3221.6
3221.7,22.477,0.095,2.59,4.075,3221.7
3221.8,22.344,0.094,2.59,4.09,3221.8
3221.9,21.043,0.093,2.589,4.17,3221.9
3222.0,22.287,0.093,2.589,4.233,3222.0
3222.1,23.09,0.094,2.59,4.187,3222.1
3222.2,22.302,0.095,2.592,4.254,3222.2
3222.3,22.305,0.096,2.593,4.297,3222.3
3222.4,21.942,0.096,2.592,4.322,3222.4
3222.5,22.159,0.096,2.593,4.287,3222.5
3222.6,22.367,0.095,2.594,4.226,3222.6
3222.7,21.886,0.094,2.596,4.255,3222.7
3222.8,22.354,0.094,2.596,4.203,3222.8
3222.9,22.875,0.096,2.595,4.186,3222.9
3223.0,23.425,0.098,2.594,4.255,3223.0
3223.1,23.464,0.101,2.594,4.177,3223.1
3223.2,24.186,0.103,2.595,4.2,3223.2
3223.3,24.547,0.105,2.596,4.147,3223.3
3223.4,25.56,0.107,2.596,3.987,3223.4
3223.5,27.856,0.109,2.597,4.007,3223.5
3223.6,28.556,0.112,2.597,3.859,3223.6
3223.7,28.198,0.114,2.596,3.841,3223.7
3223.8,28.214,0.116,2.594,3.746,3223.8
3223.9,29.363,0.117,2.592,3.627,3223.9
3224.0,31.012,0.118,2.592,3.629,3224.0
3224.1,30.858,0.119,2.591,3.476,3224.1
3224.2,30.177,0.12,2.589,3.393,3224.2
3224.3,31.119,0.122,2.585,3.516,3224.3
