DEPTH,DT,GR,NPHI,RHOB,RT,DEPTH
2587.5,78.93,30.749,0.254,2.232,0.441,2587.5
2587.6,79.554,30.248,0.248,2.229,0.436,2587.6
2587.7,80.766,29.228,0.246,2.229,0.452,2587.7
2587.8,81.785,29.114,0.245,2.231,0.443,2587.8
2587.9,82.597,29.535,0.242,2.234,0.419,2587.9
2588.0,84.143,28.769,0.236,2.238,0.398,2588.0
2588.1,85.2,27.15,0.231,2.243,0.396,2588.1
2588.2,85.562,25.967,0.224,2.248,0.409,2588.2
2588.3,85.595,26.434,0.223,2.252,0.429,2588.3
2588.4,85.366,26.75,0.218,2.253,0.448,2588.4
2588.5,84.768,25.623,0.214,2.255,0.45,2588.5
2588.6,84.563,25.035,0.213,2.258,0.455,2588.6
2588.7,84.938,25.691,0.217,2.261,0.454,2588.7
2588.8,86.333,26.42,0.226,2.259,0.457,2588.8
2588.9,86.903,28.451,0.235,2.253,0.462,2588.9
2589.0,87.183,30.597,0.241,2.246,0.472,2589.0
2589.1,87.226,31.802,0.243,2.242,0.497,2589.1
2589.2,88.252,31.699,0.244,2.244,0.55,2589.2
2589.3,89.562,33.863,0.246,2.251,0.584,2589.3
2589.4,90.797,34.868,0.249,2.258,0.607,2589.4
2589.5,91.777,36.469,0.251,2.261,0.617,2589.5
2589.6,92.459,37.595,0.257,2.261,0.604,2589.6
2589.7,92.308,38.677,0.263,2.264,0.651,2589.7
2589.8,92.272,39.873,0.272,2.269,0.693,2589.8
2589.9,92.299,39.841,0.277,2.278,0.789,2589.9
2590.0,92.362,43.229,0.291,2.288,0.852,2590.0
2590.1,92.264,46.684,0.311,2.299,0.959,2590.1
2590.2,91.973,49.095,0.33,2.314,1.056,2590.2
2590.3,90.808,54.321,0.34,2.333,1.184,2590.3
2590.4,89.239,62.18,0.338,2.354,1.318,2590.4
2590.5,87.323,66.105,0.325,2.374,1.406,2590.5
2590.6,84.558,62.97,0.309,2.393,1.537,2590.6
2590.7,82.122,59.276,0.298,2.41,1.736,2590.7
2590.8,79.985,56.861,0.29,2.425,1.797,2590.8
2590.9,79.255,55.707,0.285,2.437,1.845,2590.9
2591.0,78.802,55.151,0.279,2.443,1.665,2591.0
2591.1,78.658,55.069,0.264,2.443,1.455,2591.1
2591.2,78.745,52.862,0.25,2.433,1.257,2591.2
2591.3,79.168,49.571,0.239,2.41,1.154,2591.3
2591.4,80.025,44.309,0.234,2.374,1.104,2591.4
2591.5,81.559,40.587,0.23,2.333,0.947,2591.5
