DEPTH,GR,NPHI,RHOB,RT,DEPTH
3312.5,16.5339,0.0762,2.6141,5.3257,3312.5
3312.6,16.512,0.0773,2.6128,5.3119,3312.6
3312.7,17.0432,0.0786,2.6115,5.3122,3312.7
3312.8,18.2787,0.0796,2.6124,5.27,3312.8
3312.9,19.5182,0.08,2.616,5.1962,3312.9
3313.0,19.8561,0.0806,2.6198,5.1115,3313.0
3313.1,20.2974,0.0818,2.6214,4.9983,3313.1
3313.2,20.8424,0.0838,2.6201,4.9182,3313.2
3313.3,21.3267,0.0864,2.6164,4.9375,3313.3
3313.4,21.7709,0.0892,2.6112,4.9284,3313.4
3313.5,21.8881,0.088,2.6055,4.9168,3313.5
3313.6,21.4935,0.0913,2.6014,4.9778,3313.6
3313.7,21.3711,0.0903,2.601,5.0604,3313.7
3313.8,21.4148,0.0893,2.6036,5.1195,3313.8
3313.9,21.0036,0.0885,2.6064,5.1104,3313.9
3314.0,20.4002,0.0877,2.6071,5.0961,3314.0
3314.1,19.9632,0.087,2.6062,5.0909,3314.1
3314.2,20.1066,0.0868,2.6058,5.0849,3314.2
3314.3,20.3448,0.087,2.6074,5.1023,3314.3
3314.4,20.394,0.0869,2.6107,5.1269,3314.4
3314.5,20.3059,0.0856,2.6138,5.099,3314.5
3314.6,20.7119,0.0837,2.615,5.056,3314.6
3314.7,21.8968,0.0814,2.6137,5.0135,3314.7
3314.8,23.1092,0.0796,2.6104,4.9608,3314.8
3314.9,24.2159,0.0789,2.6064,4.8952,3314.9
3315.0,25.4186,0.0793,2.6041,4.7945,3315.0
3315.1,27.2584,0.0801,2.6051,4.6409,3315.1
3315.2,28.6974,0.0806,2.6082,4.4922,3315.2
3315.3,29.2699,0.081,2.6101,4.3691,3315.3
3315.4,30.667,0.0822,2.6087,4.1792,3315.4
3315.5,32.4175,0.0844,2.6044,3.9896,3315.5
3315.6,33.8295,0.0873,2.5989,3.8478,3315.6
3315.7,34.8191,0.0903,2.5941,3.6524,3315.7
3315.8,35.142,0.0939,2.5919,3.4652,3315.8
3315.9,35.0308,0.0987,2.592,3.3936,3315.9
3316.0,35.8539,0.1046,2.5928,3.4321,3316.0
3316.1,36.5691,0.1104,2.5926,3.4571,3316.1
3316.2,36.0335,0.1119,2.5917,3.3561,3316.2
3316.3,36.2765,0.116,2.591,3.4098,3316.3
3316.4,36.4617,0.1204,2.5889,3.5393,3316.4
3316.5,35.3519,0.1259,2.5849,3.5583,3316.5
3316.6,34.8796,0.1319,2.58,3.583,3316.6
3316.7,34.5492,0.1401,2.5752,3.6629,3316.7
3316.8,33.0845,0.1398,2.5722,3.8189,3316.8
3316.9,31.74,0.1425,2.5704,3.9844,3316.9
3317.0,30.1268,0.1365,2.5686,4.1553,3317.0
3317.1,27.474,0.1328,2.5664,4.3387,3317.1
3317.2,25.5941,0.1299,2.564,4.4909,3317.2
3317.3,24.583,0.1284,2.5641,4.6007,3317.3
3317.4,22.9658,0.128,2.5666,4.7004,3317.4
3317.5,21.5509,0.1275,2.569,4.7814,3317.5
3317.6,20.6863,0.1257,2.5696,4.8476,3317.6
3317.7,19.9315,0.123,2.5693,4.9235,3317.7
3317.8,18.9954,0.1235,2.5713,4.9835,3317.8
3317.9,17.8956,0.1212,2.5759,5.0169,3317.9
3318.0,17.1957,0.1111,2.5802,5.0515,3318.0
3318.1,17.0257,0.1045,2.5823,5.0789,3318.1
3318.2,17.1724,0.0979,2.5824,5.0885,3318.2
3318.3,16.7467,0.091,2.5826,5.0819,3318.3
3318.4,16.5574,0.0917,2.5843,5.0597,3318.4
3318.5,17.2246,0.0896,2.5874,5.0072,3318.5
3318.6,17.8622,0.0874,2.5907,4.9094,3318.6
3318.7,18.1845,0.0868,2.5911,4.8296,3318.7
3318.8,18.3675,0.0901,2.5887,4.8522,3318.8
3318.9,19.6799,0.0957,2.5859,4.942,3318.9
3319.0,21.847,0.1027,2.5858,4.996,3319.0
3319.1,24.0768,0.1097,2.5884,4.8542,3319.1
3319.2,25.7591,0.1151,2.5914,4.5651,3319.2
3319.3,26.4568,0.1175,2.5929,4.1777,3319.3
3319.4,26.2244,0.1175,2.5936,3.8644,3319.4
3319.5,26.5697,0.1169,2.5956,3.7563,3319.5
3319.6,27.3578,0.1163,2.5994,3.8323,3319.6
3319.7,27.9163,0.1164,2.6027,3.9353,3319.7
3319.8,28.2819,0.1173,2.6027,4.0124,3319.8
3319.9,28.1323,0.1187,2.5987,4.0243,3319.9
3320.0,27.3864,0.1204,2.5929,3.9657,3320.0
3320.1,27.1009,0.1187,2.5884,3.9188,3320.1
3320.2,27.4838,0.1226,2.586,3.9109,3320.2
3320.3,27.8677,0.1228,2.584,3.9243,3320.3
3320.4,27.5796,0.1226,2.5798,3.9082,3320.4
3320.5,26.5978,0.1225,2.5752,3.8493,3320.5
3320.6,25.9283,0.1233,2.577,3.792,3320.6
3320.7,25.8725,0.125,2.5825,3.7674,3320.7
3320.8,26.4381,0.1272,2.5867,3.784,3320.8
3320.9,26.9053,0.1292,2.589,3.792,3320.9
3321.0,27.5235,0.1279,2.59,3.754,3321.0
3321.1,28.1851,0.1295,2.5902,3.6792,3321.1
3321.2,28.3322,0.1338,2.5888,3.6612,3321.2
3321.3,28.4496,0.1344,2.5858,3.6576,3321.3
3321.4,28.9328,0.1316,2.5831,3.6336,3321.4
3321.5,29.585,0.1347,2.5802,3.5974,3321.5
3321.6,30.1509,0.1348,2.5763,3.5595,3321.6
3321.7,30.4822,0.1344,2.5719,3.5317,3321.7
3321.8,30.9485,0.1297,2.5698,3.5099,3321.8
3321.9,31.3664,0.1267,2.571,3.4871,3321.9
3322.0,31.705,0.1226,2.5735,3.4605,3322.0
3322.1,32.4607,0.1214,2.5749,3.4459,3322.1
3322.2,33.1567,0.118,2.5742,3.4572,3322.2
3322.3,33.3898,0.1165,2.5735,3.4921,3322.3
3322.4,34.0961,0.1166,2.5739,3.4944,3322.4
3322.5,34.317,0.1168,2.5745,3.4765,3322.5
3322.6,33.0795,0.1169,2.5747,3.4761,3322.6
3322.7,32.3071,0.1163,2.5749,3.506,3322.7
3322.8,31.598,0.1121,2.5762,3.5749,3322.8
3322.9,30.2934,0.1133,2.5788,3.6613,3322.9
3323.0,29.7603,0.1114,2.582,3.7092,3323.0
3323.1,29.3801,0.1104,2.5852,3.7512,3323.1
3323.2,27.8527,0.1102,2.5879,3.8521,3323.2
3323.3,26.8848,0.1103,2.589,3.9301,3323.3
3323.4,26.7174,0.1099,2.5883,3.9625,3323.4
3323.5,26.5448,0.1096,2.5869,3.9745,3323.5
3323.6,26.5035,0.1098,2.5864,3.9833,3323.6
3323.7,26.4175,0.11,2.5877,3.9977,3323.7
3323.8,25.902,0.11,2.5902,4.019,3323.8
3323.9,25.3548,0.1068,2.5933,4.032,3323.9
3324.0,24.9655,0.11,2.5959,4.0601,3324.0
3324.1,24.6903,0.1109,2.597,4.1463,3324.1
3324.2,24.7384,0.109,2.5964,4.2001,3324.2
