GR,NPHI,RHOB,RT,DEPTH
8.32,0.063,2.599,7.216,3213.3
8.144,0.065,2.597,7.538,3213.4
7.75,0.066,2.594,7.68,3213.5
9.245,0.068,2.594,7.596,3213.6
10.402,0.072,2.594,7.656,3213.7
11.325,0.076,2.594,7.411,3213.8
12.784,0.08,2.593,7.633,3213.9
15.203,0.083,2.59,7.703,3214.0
18.554,0.086,2.587,7.579,3214.1
20.025,0.085,2.587,7.048,3214.2
18.616,0.083,2.591,6.499,3214.3
18.263,0.08,2.596,6.329,3214.4
16.943,0.078,2.6,6.594,3214.5
14.187,0.075,2.601,7.284,3214.6
13.145,0.073,2.6,7.516,3214.7
12.699,0.073,2.6,7.305,3214.8
13.402,0.073,2.602,7.302,3214.9
14.33,0.074,2.604,7.244,3215.0
13.41,0.075,2.605,7.256,3215.1
12.703,0.076,2.603,7.083,3215.2
13.429,0.077,2.601,6.957,3215.3
13.971,0.076,2.601,6.894,3215.4
12.822,0.075,2.602,6.774,3215.5
11.305,0.074,2.603,6.633,3215.6
9.215,0.073,2.604,6.512,3215.7
8.436,0.071,2.604,6.413,3215.8
7.152,0.068,2.602,6.465,3215.9
5.712,0.064,2.599,6.42,3216.0
4.514,0.065,2.595,6.335,3216.1
4.229,0.066,2.592,6.129,3216.2
3.942,0.066,2.59,6.096,3216.3
3.41,0.067,2.591,6.086,3216.4
3.09,0.069,2.592,6.071,3216.5
3.538,0.07,2.591,6.109,3216.6
3.457,0.072,2.587,5.994,3216.7
3.5,0.073,2.582,5.75,3216.8
3.23,0.073,2.578,5.932,3216.9
2.994,0.072,2.578,5.609,3217.0
3.249,0.072,2.581,5.852,3217.1
3.125,0.071,2.585,5.871,3217.2
2.687,0.071,2.59,5.964,3217.3
3.049,0.07,2.594,6.09,3217.4
3.198,0.067,2.598,6.152,3217.5
3.535,0.064,2.603,6.374,3217.6
3.39,0.062,2.607,6.501,3217.7
3.608,0.061,2.61,6.701,3217.8
3.53,0.06,2.614,6.891,3217.9
3.987,0.06,2.618,6.985,3218.0
4.422,0.06,2.621,7.135,3218.1
4.772,0.06,2.622,7.152,3218.2
5.293,0.06,2.622,7.374,3218.3
5.68,0.06,2.623,7.426,3218.4
6.344,0.061,2.626,7.707,3218.5
7.634,0.062,2.629,7.688,3218.6
9.156,0.064,2.631,7.685,3218.7
10.329,0.066,2.631,7.71,3218.8
11.956,0.069,2.63,7.782,3218.9
14.064,0.073,2.629,7.861,3219.0
16.685,0.076,2.629,7.938,3219.1
19.071,0.078,2.63,7.979,3219.2
21.345,0.078,2.632,7.798,3219.3
22.362,0.076,2.633,7.557,3219.4
21.808,0.075,2.634,7.528,3219.5
22.705,0.074,2.634,7.515,3219.6
21.473,0.075,2.634,7.399,3219.7
20.72,0.076,2.636,7.419,3219.8
20.503,0.078,2.64,7.422,3219.9
21.013,0.08,2.644,7.355,3220.0
21.247,0.081,2.643,6.976,3220.1
21.77,0.084,2.635,6.399,3220.2
21.749,0.089,2.625,5.885,3220.3
21.268,0.095,2.618,5.701,3220.4
22.94,0.102,2.613,5.62,3220.5
24.754,0.106,2.609,5.462,3220.6
26.27,0.108,2.605,5.145,3220.7
27.048,0.106,2.602,4.527,3220.8
27.39,0.107,2.597,3.959,3220.9
25.981,0.105,2.593,3.676,3221.0
24.958,0.103,2.589,3.882,3221.1
24.808,0.101,2.587,3.748,3221.2
23.722,0.097,2.585,3.847,3221.3
24.141,0.099,2.585,3.901,3221.4
24.702,0.098,2.587,4.152,3221.5
24.013,0.097,2.588,4.21,3221.6
22.477,0.095,2.59,4.075,3221.7
22.344,0.094,2.59,4.09,3221.8
21.043,0.093,2.589,4.17,3221.9
22.287,0.093,2.589,4.233,3222.0
23.09,0.094,2.59,4.187,3222.1
22.302,0.095,2.592,4.254,3222.2
22.305,0.096,2.593,4.297,3222.3
21.942,0.096,2.592,4.322,3222.4
22.159,0.096,2.593,4.287,3222.5
22.367,0.095,2.594,4.226,3222.6
21.886,0.094,2.596,4.255,3222.7
22.354,0.094,2.596,4.203,3222.8
22.875,0.096,2.595,4.186,3222.9
23.425,0.098,2.594,4.255,3223.0
23.464,0.101,2.594,4.177,3223.1
24.186,0.103,2.595,4.2,3223.2
24.547,0.105,2.596,4.147,3223.3
25.56,0.107,2.596,3.987,3223.4
27.856,0.109,2.597,4.007,3223.5
28.556,0.112,2.597,3.859,3223.6
28.198,0.114,2.596,3.841,3223.7
28.214,0.116,2.594,3.746,3223.8
29.363,0.117,2.592,3.627,3223.9
31.012,0.118,2.592,3.629,3224.0
30.858,0.119,2.591,3.476,3224.1
30.177,0.12,2.589,3.393,3224.2
31.119,0.122,2.585,3.516,3224.3
31.336,0.122,2.583,3.377,3224.4
29.954,0.125,2.582,3.28,3224.5
30.875,0.124,2.582,3.243,3224.6
31.393,0.126,2.581,3.143,3224.7
32.474,0.127,2.579,3.16,3224.8
33.129,0.128,2.576,3.291,3224.9
32.479,0.128,2.574,3.415,3225.0
33.574,0.127,2.572,3.317,3225.1
34.25,0.128,2.57,3.35,3225.2
33.953,0.126,2.565,3.09,3225.3
35.044,0.126,2.561,3.351,3225.4
35.294,0.127,2.563,3.453,3225.5
35.305,0.125,2.57,3.751,3225.6
35.163,0.126,2.577,3.702,3225.7
34.171,0.122,2.58,3.758,3225.8
34.177,0.119,2.578,3.704,3225.9
32.292,0.115,2.575,3.796,3226.0
30.206,0.112,2.574,3.965,3226.1
28.432,0.106,2.577,4.441,3226.2
27.741,0.1,2.581,4.765,3226.3
27.103,0.096,2.586,4.874,3226.4
26.976,0.094,2.591,4.99,3226.5
26.412,0.093,2.597,4.921,3226.6
26.796,0.093,2.601,4.932,3226.7
27.074,0.094,2.603,4.95,3226.8
26.75,0.095,2.605,4.986,3226.9
26.772,0.096,2.608,5.017,3227.0
26.757,0.095,2.61,5.044,3227.1
26.585,0.097,2.611,4.945,3227.2
26.598,0.1,2.609,4.846,3227.3
26.669,0.103,2.604,4.668,3227.4
27.648,0.109,2.597,4.5,3227.5
29.282,0.116,2.591,4.264,3227.6
30.781,0.122,2.586,4.225,3227.7
32.481,0.129,2.582,4.057,3227.8
33.703,0.136,2.579,3.918,3227.9
36.314,0.141,2.576,3.548,3228.0
38.562,0.146,2.572,3.044,3228.1
38.466,0.145,2.568,2.788,3228.2
38.891,0.15,2.565,2.795,3228.3
40.1,0.147,2.565,2.741,3228.4
40.452,0.145,2.567,2.804,3228.5
39.306,0.141,2.57,2.953,3228.6
37.691,0.138,2.572,3.04,3228.7
36.117,0.13,2.574,2.983,3228.8
34.332,0.119,2.574,3.032,3228.9
30.81,0.108,2.577,3.177,3229.0
29.166,0.099,2.583,3.632,3229.1
27.718,0.096,2.59,3.94,3229.2
25.881,0.094,2.596,4.322,3229.3
25.874,0.095,2.602,4.286,3229.4
26.296,0.096,2.607,4.228,3229.5
25.482,0.099,2.608,4.223,3229.6
27.037,0.101,2.604,4.215,3229.7
28.525,0.107,2.597,4.186,3229.8
30.814,0.114,2.59,3.864,3229.9
32.429,0.122,2.586,3.79,3230.0
33.821,0.127,2.584,3.625,3230.1
34.56,0.131,2.585,3.515,3230.2
35.059,0.135,2.585,3.434,3230.3
34.725,0.132,2.586,3.506,3230.4
35.834,0.132,2.588,3.508,3230.5
35.505,0.139,2.59,3.307,3230.6
35.693,0.142,2.593,3.116,3230.7
34.785,0.139,2.595,2.946,3230.8
34.288,0.138,2.596,2.701,3230.9
34.201,0.139,2.595,2.665,3231.0
32.631,0.136,2.593,2.891,3231.1
34.198,0.136,2.592,3.211,3231.2
34.413,0.137,2.591,3.497,3231.3
36.33,0.138,2.59,3.635,3231.4
37.096,0.138,2.59,3.679,3231.5
36.601,0.136,2.591,3.404,3231.6
34.562,0.13,2.592,3.26,3231.7
33.364,0.121,2.592,3.427,3231.8
31.091,0.114,2.593,3.617,3231.9
28.525,0.105,2.594,3.88,3232.0
25.789,0.098,2.596,4.203,3232.1
23.539,0.096,2.599,4.443,3232.2
22.455,0.096,2.602,4.645,3232.3
22.558,0.097,2.604,4.712,3232.4
23.288,0.1,2.604,4.644,3232.5
24.347,0.101,2.6,4.468,3232.6
25.332,0.104,2.596,4.14,3232.7
25.434,0.108,2.593,4.048,3232.8
25.758,0.112,2.59,3.862,3232.9
25.924,0.116,2.588,4.248,3233.0
26.59,0.118,2.587,4.101,3233.1
27.48,0.113,2.586,4.009,3233.2
26.658,0.109,2.588,3.983,3233.3
25.533,0.103,2.59,3.915,3233.4
23.831,0.1,2.593,4.096,3233.5
24.228,0.095,2.596,4.236,3233.6
21.9,0.09,2.597,4.279,3233.7
20.714,0.086,2.598,4.587,3233.8
20.138,0.082,2.599,4.881,3233.9
18.404,0.079,2.602,4.855,3234.0
16.941,0.078,2.607,4.85,3234.1
16.394,0.081,2.61,4.861,3234.2
16.287,0.083,2.611,4.891,3234.3
17.167,0.087,2.611,4.949,3234.4
