GR,NPHI,RHOB,RT,DEPTH
45.707,0.256,2.545,1.705,3462.6
46.877,0.252,2.532,1.749,3462.7
48.022,0.25,2.519,1.742,3462.8
48.947,0.246,2.512,1.654,3462.9
50.659,0.239,2.508,1.634,3463.0
50.135,0.233,2.503,1.569,3463.1
47.745,0.229,2.496,1.579,3463.2
47.238,0.229,2.49,1.561,3463.3
47.628,0.23,2.488,1.585,3463.4
47.448,0.233,2.489,1.634,3463.5
47.381,0.237,2.491,1.69,3463.6
45.115,0.241,2.495,1.736,3463.7
45.792,0.244,2.501,1.753,3463.8
45.989,0.244,2.508,1.617,3463.9
46.188,0.244,2.515,1.697,3464.0
47.24,0.246,2.526,1.84,3464.1
48.043,0.244,2.542,1.969,3464.2
50.285,0.247,2.561,2.033,3464.3
50.711,0.248,2.575,2.134,3464.4
51.963,0.249,2.579,2.195,3464.5
55.923,0.249,2.575,2.312,3464.6
58.495,0.259,2.568,2.474,3464.7
58.693,0.269,2.568,2.574,3464.8
59.763,0.279,2.578,2.684,3464.9
60.55,0.297,2.595,3.109,3465.0
64.542,0.319,2.609,2.803,3465.1
66.053,0.336,2.612,2.571,3465.2
71.133,0.349,2.603,2.757,3465.3
71.184,0.355,2.59,2.828,3465.4
71.303,0.358,2.584,2.905,3465.5
70.794,0.363,2.592,2.761,3465.6
67.146,0.368,2.609,2.185,3465.7
68.27,0.382,2.623,2.204,3465.8
70.807,0.395,2.623,3.022,3465.9
70.611,0.401,2.606,3.751,3466.0
70.474,0.394,2.584,3.128,3466.1
68.383,0.375,2.567,3.004,3466.2
61.814,0.357,2.563,3.082,3466.3
58.158,0.341,2.568,3.124,3466.4
55.776,0.335,2.576,3.267,3466.5
52.763,0.336,2.583,3.265,3466.6
50.375,0.334,2.584,3.409,3466.7
48.348,0.324,2.578,3.332,3466.8
47.196,0.306,2.565,3.204,3466.9
43.631,0.272,2.549,3.664,3467.0
38.572,0.239,2.53,4.032,3467.1
34.175,0.215,2.509,4.887,3467.2
32.52,0.2,2.488,5.539,3467.3
30.144,0.19,2.471,5.828,3467.4
26.902,0.186,2.461,5.637,3467.5
24.259,0.176,2.454,5.589,3467.6
22.681,0.173,2.449,5.61,3467.7
21.504,0.167,2.444,6.114,3467.8
21.422,0.162,2.441,6.345,3467.9
20.336,0.154,2.439,6.634,3468.0
20.06,0.152,2.433,6.664,3468.1
20.138,0.144,2.425,6.746,3468.2
19.229,0.138,2.42,6.64,3468.3
18.683,0.133,2.424,7.021,3468.4
17.709,0.129,2.438,7.226,3468.5
16.962,0.125,2.458,7.381,3468.6
17.189,0.123,2.484,7.711,3468.7
17.406,0.122,2.515,9.762,3468.8
17.075,0.122,2.547,10.488,3468.9
17.564,0.122,2.574,9.949,3469.0
17.348,0.121,2.592,8.565,3469.1
16.584,0.115,2.601,6.476,3469.2
17.598,0.112,2.603,5.448,3469.3
17.654,0.11,2.596,8.102,3469.4
16.575,0.111,2.574,8.415,3469.5
15.856,0.117,2.539,12.051,3469.6
16.152,0.121,2.499,16.818,3469.7
16.464,0.124,2.464,16.962,3469.8
16.782,0.128,2.432,19.602,3469.9
18.03,0.129,2.4,30.857,3470.0
18.477,0.132,2.367,35.475,3470.1
17.628,0.137,2.334,38.949,3470.2
18.626,0.144,2.3,40.715,3470.3
18.99,0.153,2.266,39.253,3470.4
17.736,0.162,2.236,43.308,3470.5
17.757,0.168,2.215,44.145,3470.6
17.687,0.177,2.204,47.4,3470.7
16.89,0.179,2.2,49.542,3470.8
16.654,0.185,2.198,51.86,3470.9
17.146,0.189,2.194,49.794,3471.0
17.366,0.191,2.191,49.809,3471.1
16.625,0.192,2.188,48.995,3471.2
17.576,0.192,2.188,49.396,3471.3
18.331,0.192,2.189,48.197,3471.4
16.916,0.194,2.191,47.709,3471.5
16.498,0.195,2.193,46.425,3471.6
16.386,0.195,2.194,45.821,3471.7
16.275,0.195,2.196,46.122,3471.8
16.732,0.194,2.201,46.369,3471.9
17.233,0.192,2.207,47.624,3472.0
17.692,0.186,2.213,49.262,3472.1
16.449,0.187,2.214,48.925,3472.2
16.152,0.182,2.211,48.463,3472.3
16.347,0.181,2.205,48.993,3472.4
16.518,0.184,2.198,48.733,3472.5
16.915,0.185,2.193,51.011,3472.6
16.5,0.186,2.191,51.378,3472.7
17.09,0.188,2.191,53.725,3472.8
17.405,0.188,2.192,55.585,3472.9
18.136,0.195,2.192,56.515,3473.0
18.295,0.195,2.193,55.997,3473.1
17.258,0.194,2.193,54.193,3473.2
17.721,0.191,2.194,53.25,3473.3
17.296,0.186,2.197,52.71,3473.4
17.551,0.184,2.201,51.338,3473.5
19.694,0.187,2.204,51.743,3473.6
18.701,0.188,2.205,53.485,3473.7
16.945,0.186,2.205,53.409,3473.8
17.78,0.183,2.205,54.036,3473.9
18.208,0.179,2.207,53.957,3474.0
17.619,0.177,2.21,54.194,3474.1
18.556,0.179,2.211,53.564,3474.2
17.109,0.179,2.21,54.041,3474.3
16.908,0.184,2.207,55.839,3474.4
17.441,0.185,2.205,57.698,3474.5
17.343,0.18,2.205,58.731,3474.6
17.863,0.181,2.206,59.196,3474.7
17.897,0.18,2.207,60.708,3474.8
17.903,0.181,2.208,59.563,3474.9
18.776,0.184,2.209,58.872,3475.0
18.614,0.184,2.211,57.383,3475.1
18.97,0.182,2.212,57.827,3475.2
18.022,0.177,2.211,58.56,3475.3
19.158,0.172,2.207,63.133,3475.4
17.54,0.167,2.201,67.168,3475.5
17.699,0.172,2.197,73.054,3475.6
18.034,0.172,2.198,76.975,3475.7
17.482,0.176,2.201,76.38,3475.8
17.019,0.18,2.201,71.842,3475.9
17.636,0.186,2.196,67.879,3476.0
16.36,0.186,2.187,64.932,3476.1
14.517,0.181,2.18,64.717,3476.2
15.645,0.181,2.178,65.377,3476.3
16.293,0.178,2.18,67.413,3476.4
16.089,0.174,2.185,67.241,3476.5
16.239,0.175,2.193,67.078,3476.6
17.259,0.178,2.202,71.36,3476.7
18.987,0.175,2.209,80.346,3476.8
19.979,0.177,2.213,82.594,3476.9
19.847,0.179,2.215,73.92,3477.0
18.842,0.181,2.218,49.869,3477.1
17.835,0.181,2.219,46.085,3477.2
17.71,0.181,2.217,54.546,3477.3
18.028,0.184,2.213,64.945,3477.4
18.503,0.184,2.209,69.338,3477.5
17.835,0.184,2.208,72.107,3477.6
18.964,0.182,2.209,69.547,3477.7
20.399,0.176,2.213,60.505,3477.8
18.506,0.174,2.215,55.946,3477.9
16.673,0.169,2.216,65.93,3478.0
15.431,0.165,2.215,90.008,3478.1
13.889,0.166,2.212,91.576,3478.2
15.266,0.167,2.208,87.72,3478.3
15.314,0.169,2.204,86.623,3478.4
14.756,0.172,2.2,86.895,3478.5
14.781,0.172,2.195,86.805,3478.6
15.236,0.169,2.19,87.175,3478.7
15.56,0.172,2.186,89.235,3478.8
16.655,0.172,2.186,90.205,3478.9
16.41,0.17,2.187,91.382,3479.0
13.753,0.163,2.188,89.619,3479.1
14.054,0.163,2.186,90.401,3479.2
15.906,0.161,2.183,91.587,3479.3
16.668,0.162,2.178,91.587,3479.4
16.89,0.165,2.175,91.591,3479.5
16.704,0.166,2.172,93.015,3479.6
15.612,0.166,2.171,94.476,3479.7
15.447,0.165,2.169,94.895,3479.8
15.393,0.165,2.168,93.003,3479.9
16.272,0.164,2.168,90.103,3480.0
16.756,0.163,2.17,90.007,3480.1
15.997,0.162,2.174,91.188,3480.2
16.215,0.163,2.178,91.387,3480.3
15.958,0.165,2.18,91.589,3480.4
15.89,0.164,2.18,92.191,3480.5
15.824,0.168,2.178,91.382,3480.6
14.703,0.165,2.175,89.616,3480.7
14.836,0.168,2.173,89.228,3480.8
14.814,0.165,2.172,87.721,3480.9
15.955,0.168,2.174,86.713,3481.0
16.349,0.169,2.175,85.898,3481.1
16.824,0.17,2.176,85.019,3481.2
18.144,0.172,2.176,86.62,3481.3
18.585,0.172,2.174,86.083,3481.4
18.362,0.171,2.175,87.078,3481.5
19.242,0.17,2.178,87.168,3481.6
18.776,0.165,2.183,86.615,3481.7
17.408,0.165,2.189,84.316,3481.8
18.047,0.164,2.191,83.634,3481.9
17.695,0.164,2.188,84.668,3482.0
17.877,0.165,2.182,85.726,3482.1
17.455,0.167,2.176,86.807,3482.2
17.594,0.169,2.172,87.905,3482.3
18.266,0.17,2.17,86.075,3482.4
17.309,0.17,2.171,84.234,3482.5
18.142,0.167,2.174,82.788,3482.6
19.564,0.17,2.177,83.633,3482.7
19.002,0.17,2.178,84.318,3482.8
18.64,0.169,2.178,84.488,3482.9
17.555,0.168,2.177,83.24,3483.0
17.852,0.166,2.177,80.98,3483.1
18.795,0.165,2.177,81.307,3483.2
16.893,0.166,2.178,82.786,3483.3
16.295,0.167,2.177,82.784,3483.4
17.862,0.168,2.177,82.116,3483.5
17.515,0.169,2.176,80.501,3483.6
16.332,0.169,2.175,81.138,3483.7
16.353,0.169,2.176,80.031,3483.8
15.091,0.168,2.177,80.182,3483.9
15.3,0.162,2.179,80.179,3484.0
16.314,0.16,2.179,79.397,3484.1
15.648,0.157,2.176,77.872,3484.2
15.408,0.156,2.171,78.778,3484.3
15.1,0.157,2.169,77.939,3484.4
14.989,0.158,2.172,75.073,3484.5
15.542,0.159,2.18,71.204,3484.6
15.395,0.159,2.189,69.945,3484.7
16.613,0.155,2.194,70.322,3484.8
18.116,0.156,2.196,71.476,3484.9
17.976,0.15,2.197,73.112,3485.0
17.154,0.149,2.198,72.326,3485.1
16.213,0.152,2.2,75.104,3485.2
15.332,0.153,2.201,73.53,3485.3
15.123,0.154,2.203,63.117,3485.4
15.201,0.155,2.205,61.205,3485.5
14.924,0.157,2.207,63.02,3485.6
15.712,0.158,2.207,63.488,3485.7
16.016,0.159,2.204,63.538,3485.8
16.903,0.16,2.201,62.815,3485.9
17.745,0.163,2.2,64.076,3486.0
18.229,0.166,2.198,66.381,3486.1
18.755,0.168,2.194,67.13,3486.2
19.517,0.169,2.189,68.004,3486.3
18.569,0.17,2.185,69.198,3486.4
19.518,0.17,2.181,66.946,3486.5
19.547,0.169,2.181,65.483,3486.6
18.522,0.169,2.181,65.594,3486.7
18.546,0.17,2.182,65.878,3486.8
18.36,0.172,2.184,67.759,3486.9
18.244,0.175,2.185,65.584,3487.0
16.858,0.175,2.185,62.405,3487.1
16.368,0.174,2.185,63.442,3487.2
16.514,0.174,2.185,65.828,3487.3
16.738,0.174,2.186,66.265,3487.4
17.798,0.174,2.191,66.046,3487.5
17.216,0.17,2.196,68.117,3487.6
17.14,0.17,2.199,67.29,3487.7
17.785,0.166,2.199,64.663,3487.8
18.818,0.162,2.199,64.29,3487.9
20.809,0.16,2.202,66.608,3488.0
20.596,0.16,2.205,67.179,3488.1
18.953,0.161,2.208,66.379,3488.2
18.443,0.161,2.209,66.493,3488.3
17.811,0.16,2.209,66.492,3488.4
16.513,0.158,2.209,66.382,3488.5
15.687,0.157,2.21,67.538,3488.6
15.884,0.157,2.213,70.139,3488.7
16.215,0.159,2.217,71.983,3488.8
17.519,0.161,2.221,71.982,3488.9
17.078,0.161,2.225,71.462,3489.0
17.269,0.161,2.228,70.943,3489.1
17.757,0.16,2.23,68.442,3489.2
17.167,0.159,2.232,63.019,3489.3
15.63,0.157,2.235,63.132,3489.4
16.643,0.155,2.237,66.495,3489.5
17.65,0.154,2.238,67.302,3489.6
16.979,0.155,2.236,69.02,3489.7
16.241,0.157,2.233,68.841,3489.8
15.777,0.16,2.23,69.696,3489.9
15.546,0.161,2.229,69.944,3490.0
16.074,0.16,2.23,70.196,3490.1
15.746,0.158,2.231,71.466,3490.2
14.204,0.157,2.231,71.593,3490.3
14.912,0.156,2.231,71.723,3490.4
16.092,0.156,2.232,71.722,3490.5
16.138,0.153,2.233,71.598,3490.6
15.814,0.156,2.233,73.52,3490.7
15.358,0.157,2.235,73.723,3490.8
14.761,0.157,2.238,74.966,3490.9
15.131,0.157,2.243,75.543,3491.0
14.258,0.156,2.246,80.006,3491.1
13.77,0.156,2.247,73.933,3491.2
13.623,0.158,2.245,74.546,3491.3
14.522,0.16,2.242,74.973,3491.4
15.28,0.163,2.238,77.885,3491.5
14.933,0.165,2.235,83.988,3491.6
15.286,0.17,2.238,210.968,3491.7
16.765,0.175,2.248,431.732,3491.8
15.526,0.179,2.265,40.591,3491.9
14.915,0.179,2.282,30.067,3492.0
15.735,0.177,2.291,44.586,3492.1
17.587,0.174,2.289,63.149,3492.2
17.453,0.171,2.278,64.395,3492.3
15.794,0.168,2.268,65.828,3492.4
15.856,0.163,2.263,69.943,3492.5
16.678,0.158,2.264,69.935,3492.6
16.969,0.154,2.268,66.972,3492.7
15.384,0.151,2.272,93.601,3492.8
15.948,0.15,2.277,82.264,3492.9
14.967,0.148,2.283,74.543,3493.0
14.628,0.146,2.289,73.719,3493.1
15.602,0.144,2.293,73.789,3493.2
15.646,0.141,2.294,74.406,3493.3
16.191,0.138,2.289,74.268,3493.4
16.332,0.138,2.28,74.268,3493.5
16.326,0.14,2.268,74.407,3493.6
15.527,0.144,2.254,74.619,3493.7
16.736,0.15,2.24,74.404,3493.8
18.379,0.155,2.226,73.586,3493.9
17.67,0.159,2.215,74.824,3494.0
18.13,0.16,2.206,74.829,3494.1
18.474,0.161,2.198,76.538,3494.2
17.754,0.162,2.192,76.393,3494.3
16.486,0.165,2.189,76.681,3494.4
16.896,0.168,2.186,75.817,3494.5
18.138,0.171,2.186,76.391,3494.6
18.794,0.173,2.186,75.958,3494.7
19.343,0.173,2.188,74.96,3494.8
17.1,0.172,2.192,73.447,3494.9
16.934,0.17,2.199,73.444,3495.0
16.289,0.167,2.207,72.235,3495.1
16.627,0.162,2.217,68.461,3495.2
18.498,0.157,2.232,61.207,3495.3
19.127,0.153,2.25,63.654,3495.4
18.144,0.151,2.271,66.588,3495.5
18.697,0.152,2.292,59.867,3495.6
19.061,0.154,2.309,66.573,3495.7
18.929,0.154,2.324,60.139,3495.8
18.635,0.154,2.338,62.062,3495.9
18.057,0.155,2.349,49.433,3496.0
17.332,0.156,2.354,37.222,3496.1
17.351,0.159,2.352,26.445,3496.2
16.498,0.162,2.345,26.585,3496.3
17.279,0.165,2.335,15.261,3496.4
18.284,0.168,2.321,17.638,3496.5
17.239,0.172,2.303,207.584,3496.6
16.849,0.176,2.279,62122.633,3496.7
19.127,0.18,2.248,2724.121,3496.8
19.634,0.183,2.218,186.69,3496.9
20.421,0.186,2.191,118.694,3497.0
21.331,0.184,2.17,94.638,3497.1
21.027,0.187,2.158,77.245,3497.2
19.735,0.187,2.152,69.044,3497.3
18.523,0.19,2.149,56.07,3497.4
19.812,0.194,2.146,50.149,3497.5
20.912,0.199,2.144,46.817,3497.6
21.658,0.203,2.143,53.991,3497.7
21.978,0.206,2.141,56.011,3497.8
24.19,0.208,2.135,59.191,3497.9
24.263,0.21,2.127,59.096,3498.0
24.937,0.209,2.116,58.184,3498.1
25.347,0.21,2.108,58.005,3498.2
26.11,0.211,2.105,57.826,3498.3
25.109,0.216,2.108,58.096,3498.4
24.72,0.217,2.113,58.822,3498.5
25.119,0.214,2.115,59.099,3498.6
25.989,0.211,2.115,59.192,3498.7
25.06,0.208,2.114,59.284,3498.8
25.309,0.208,2.113,59.285,3498.9
25.307,0.209,2.114,59.472,3499.0
25.765,0.209,2.115,59.659,3499.1
25.103,0.207,2.117,59.518,3499.2
25.369,0.205,2.12,59.471,3499.3
23.964,0.204,2.124,59.191,3499.4
22.719,0.204,2.126,58.915,3499.5
23.533,0.207,2.126,59.378,3499.6
24.246,0.209,2.127,59.47,3499.7
24.5,0.208,2.129,59.1,3499.8
25.953,0.205,2.13,59.573,3499.9
25.923,0.202,2.131,60.046,3500.0
25.893,0.199,2.131,60.521,3500.1
25.529,0.199,2.129,61.699,3500.2
27.018,0.201,2.127,62.507,3500.3
25.211,0.203,2.126,63.542,3500.4
24.856,0.205,2.126,64.288,3500.5
25.97,0.205,2.126,65.93,3500.6
25.033,0.204,2.127,66.671,3500.7
25.262,0.205,2.128,67.42,3500.8
27.863,0.205,2.128,69.583,3500.9
26.165,0.204,2.127,72.644,3501.0
24.077,0.202,2.125,73.044,3501.1
25.549,0.202,2.124,73.595,3501.2
25.465,0.204,2.125,77.875,3501.3
25.926,0.209,2.125,79.878,3501.4
26.002,0.214,2.125,81.812,3501.5
26.683,0.216,2.124,89.058,3501.6
27.573,0.215,2.122,94.904,3501.7
27.748,0.213,2.121,96.021,3501.8
27.74,0.21,2.123,110.4,3501.9
27.314,0.208,2.125,124.887,3502.0
27.842,0.207,2.127,150.34,3502.1
29.02,0.208,2.126,158.218,3502.2
29.159,0.21,2.123,186.23,3502.3
28.729,0.213,2.118,219.167,3502.4
27.146,0.215,2.11,251.926,3502.5
29.016,0.217,2.101,344.384,3502.6
28.868,0.219,2.092,432.245,3502.7
30.414,0.222,2.087,1679.768,3502.8
31.098,0.222,2.088,62290.77,3502.9
31.278,0.228,2.095,62290.77,3503.0
33.846,0.23,2.104,62290.77,3503.1
33.606,0.234,2.114,62290.77,3503.2
34.845,0.229,2.123,62290.77,3503.3
35.603,0.226,2.132,62290.77,3503.4
35.265,0.224,2.144,62290.77,3503.5
35.892,0.216,2.161,62290.77,3503.6
34.734,0.213,2.18,62290.77,3503.7
33.903,0.208,2.195,62290.77,3503.8
34.487,0.207,2.205,62290.77,3503.9
35.674,0.209,2.209,62290.77,3504.0
36.593,0.209,2.21,62290.77,3504.1
37.658,0.211,2.213,62290.77,3504.2
38.095,0.208,2.216,62290.77,3504.3
38.472,0.205,2.22,62290.77,3504.4
38.599,0.201,2.224,62290.77,3504.5
38.087,0.205,2.228,62290.77,3504.6
39.546,0.205,2.233,62290.77,3504.7
41.851,0.205,2.239,62290.77,3504.8
42.709,0.205,2.246,62290.77,3504.9
42.519,0.203,2.256,62290.77,3505.0
42.496,0.203,2.265,62290.77,3505.1
41.053,0.201,2.274,62290.77,3505.2
42.46,0.199,2.282,62290.77,3505.3
45.4,0.202,2.289,62290.77,3505.4
47.829,0.205,2.297,62139.879,3505.5
49.337,0.208,2.309,8815.905,3505.6
49.231,0.211,2.329,156.958,3505.7
48.838,0.213,2.354,37.325,3505.8
52.84,0.213,2.381,32.971,3505.9
53.221,0.209,2.403,33.46,3506.0
52.879,0.204,2.413,21.379,3506.1
56.134,0.2,2.413,15.596,3506.2
56.85,0.193,2.407,18.065,3506.3
56.958,0.185,2.4,16.301,3506.4
57.668,0.184,2.397,15.604,3506.5
56.911,0.186,2.397,15.557,3506.6
58.422,0.192,2.401,15.282,3506.7
59.6,0.194,2.408,14.559,3506.8
60.273,0.19,2.419,13.651,3506.9
58.902,0.188,2.433,13.286,3507.0
58.921,0.188,2.45,14.536,3507.1
58.129,0.189,2.463,15.485,3507.2
58.327,0.19,2.47,14.91,3507.3
58.33,0.189,2.471,10.769,3507.4
59.622,0.186,2.469,10.23,3507.5
59.561,0.183,2.465,10.054,3507.6
59.655,0.18,2.455,11.821,3507.7
60.646,0.177,2.443,14.463,3507.8
61.594,0.178,2.433,16.249,3507.9
59.83,0.182,2.428,16.356,3508.0
57.623,0.181,2.426,15.497,3508.1
59.158,0.182,2.423,15.784,3508.2
55.637,0.183,2.418,18.51,3508.3
53.713,0.186,2.411,37.66,3508.4
55.332,0.189,2.405,46.113,3508.5
54.969,0.189,2.404,64.281,3508.6
53.203,0.187,2.403,63.675,3508.7
53.637,0.185,2.4,185.512,3508.8
51.951,0.184,2.392,218.165,3508.9
52.221,0.184,2.381,253.487,3509.0
51.518,0.186,2.37,2467.5,3509.1
51.772,0.185,2.36,62290.77,3509.2
52.984,0.185,2.356,62115.746,3509.3
52.238,0.186,2.355,291.355,3509.4
50.527,0.187,2.357,526.284,3509.5
51.621,0.189,2.36,62290.77,3509.6
50.566,0.192,2.369,62290.77,3509.7
46.719,0.198,2.382,62290.77,3509.8
44.895,0.198,2.387,62290.77,3509.9
44.603,0.198,2.381,62290.77,3510.0
45.771,0.197,2.366,62290.77,3510.1
45.167,0.195,2.355,62290.77,3510.2
48.775,0.192,2.354,62290.77,3510.3
51.761,0.195,2.364,62115.238,3510.4
50.448,0.198,2.38,112.117,3510.5
49.404,0.198,2.393,310.498,3510.6
48.934,0.199,2.401,62290.77,3510.7
49.554,0.2,2.405,62290.77,3510.8
47.597,0.202,2.407,62290.77,3510.9
46.379,0.204,2.409,62290.77,3511.0
47.528,0.206,2.409,62290.77,3511.1
48.462,0.206,2.404,62290.77,3511.2
48.038,0.205,2.391,62290.77,3511.3
47.789,0.206,2.373,62290.77,3511.4
44.967,0.203,2.351,62290.77,3511.5
43.037,0.202,2.329,62290.77,3511.6
41.116,0.203,2.308,62290.77,3511.7
39.111,0.204,2.293,62290.77,3511.8
38.267,0.204,2.283,62290.77,3511.9
39.089,0.204,2.277,62290.77,3512.0
39.217,0.204,2.272,62290.77,3512.1
40.179,0.204,2.263,62290.77,3512.2
38.41,0.203,2.249,62290.77,3512.3
37.449,0.201,2.234,62290.77,3512.4
35.382,0.198,2.221,62290.77,3512.5
34.039,0.196,2.213,62290.77,3512.6
34.635,0.194,2.207,62290.77,3512.7
32.977,0.192,2.202,62290.77,3512.8
33.5,0.189,2.197,62290.77,3512.9
35.435,0.188,2.193,62290.77,3513.0
34.469,0.19,2.192,62290.77,3513.1
34.422,0.194,2.194,62290.77,3513.2
33.272,0.197,2.198,62290.77,3513.3
34.661,0.198,2.199,62118.59,3513.4
36.497,0.197,2.197,1301.576,3513.5
35.456,0.197,2.192,2295.408,3513.6
33.417,0.197,2.187,1332.427,3513.7
31.7,0.202,2.183,2448.807,3513.8
30.68,0.203,2.181,48047.906,3513.9
30.242,0.2,2.18,490.005,3514.0
30.38,0.202,2.178,242.462,3514.1
30.634,0.201,2.174,175.491,3514.2
31.292,0.199,2.167,135.599,3514.3
30.748,0.198,2.161,118.796,3514.4
31.183,0.199,2.158,130.676,3514.5
31.247,0.202,2.161,125.547,3514.6
31.255,0.203,2.166,133.859,3514.7
29.831,0.203,2.171,81.92,3514.8
30.372,0.2,2.169,69.185,3514.9
29.98,0.197,2.161,62.188,3515.0
29.753,0.195,2.149,58.458,3515.1
30.073,0.194,2.141,59.092,3515.2
29.783,0.195,2.137,59.37,3515.3
30.284,0.199,2.136,56.682,3515.4
30.582,0.204,2.136,55.924,3515.5
31.127,0.207,2.137,58.08,3515.6
31.037,0.206,2.138,53.242,3515.7
28.934,0.203,2.14,49.954,3515.8
29.463,0.198,2.141,46.297,3515.9
29.415,0.195,2.141,43.855,3516.0
29.755,0.194,2.141,43.249,3516.1
30.129,0.195,2.142,42.3,3516.2
28.876,0.197,2.146,41.566,3516.3
27.796,0.199,2.151,40.667,3516.4
28.635,0.2,2.154,39.474,3516.5
29.307,0.199,2.156,39.424,3516.6
29.033,0.198,2.158,38.291,3516.7
29.66,0.198,2.16,38.09,3516.8
29.049,0.197,2.161,36.917,3516.9
29.571,0.197,2.16,37.04,3517.0
29.379,0.197,2.158,36.382,3517.1
28.416,0.197,2.158,36.832,3517.2
28.028,0.196,2.16,36.384,3517.3
29.838,0.194,2.164,37.0,3517.4
27.691,0.192,2.166,37.128,3517.5
27.688,0.189,2.166,37.897,3517.6
27.367,0.188,2.167,38.118,3517.7
27.861,0.188,2.17,38.964,3517.8
29.253,0.19,2.173,37.986,3517.9
30.72,0.194,2.178,38.83,3518.0
32.592,0.196,2.186,39.013,3518.1
33.32,0.194,2.196,39.506,3518.2
32.62,0.19,2.21,39.81,3518.3
35.68,0.186,2.225,42.089,3518.4
35.598,0.183,2.242,44.48,3518.5
35.452,0.181,2.256,46.067,3518.6
37.492,0.18,2.268,48.009,3518.7
38.629,0.181,2.279,49.679,3518.8
40.826,0.184,2.289,51.815,3518.9
43.408,0.188,2.301,52.836,3519.0
45.281,0.192,2.314,41.817,3519.1
44.089,0.193,2.327,39.118,3519.2
43.586,0.194,2.336,41.758,3519.3
45.934,0.196,2.342,36.339,3519.4
46.702,0.193,2.345,35.808,3519.5
48.896,0.191,2.347,31.985,3519.6
49.289,0.19,2.35,29.51,3519.7
49.663,0.19,2.353,26.967,3519.8
47.952,0.19,2.358,29.044,3519.9
46.96,0.19,2.365,28.376,3520.0
48.032,0.19,2.37,25.064,3520.1
48.66,0.19,2.371,24.352,3520.2
48.104,0.19,2.368,22.759,3520.3
48.912,0.189,2.362,21.569,3520.4
51.19,0.185,2.358,21.231,3520.5
50.451,0.185,2.357,21.981,3520.6
50.911,0.188,2.36,18.218,3520.7
50.78,0.193,2.369,14.66,3520.8
48.525,0.199,2.379,12.097,3520.9
48.424,0.204,2.386,13.245,3521.0
49.785,0.204,2.39,14.406,3521.1
47.778,0.202,2.39,24.497,3521.2
48.182,0.199,2.39,41.411,3521.3
47.533,0.198,2.388,198.472,3521.4
49.433,0.196,2.378,103.783,3521.5
49.018,0.195,2.358,42.851,3521.6
47.539,0.197,2.332,35.073,3521.7
47.259,0.196,2.308,45.658,3521.8
47.92,0.202,2.293,310.905,3521.9
46.335,0.201,2.29,62290.77,3522.0
45.5,0.199,2.296,62290.77,3522.1
45.307,0.195,2.304,62290.77,3522.2
46.142,0.193,2.311,62290.77,3522.3
45.836,0.19,2.313,62290.77,3522.4
44.369,0.188,2.312,62290.77,3522.5
44.535,0.19,2.307,62290.77,3522.6
44.143,0.191,2.3,62290.77,3522.7
42.263,0.194,2.29,62290.77,3522.8
41.346,0.193,2.278,62290.77,3522.9
41.12,0.193,2.262,62290.77,3523.0
39.614,0.194,2.245,62290.77,3523.1
37.14,0.195,2.23,62290.77,3523.2
35.31,0.195,2.216,62118.141,3523.3
34.772,0.195,2.204,1311.909,3523.4
33.073,0.195,2.193,62290.77,3523.5
33.056,0.195,2.185,62118.227,3523.6
32.979,0.196,2.179,1167.534,3523.7
32.927,0.197,2.175,303.542,3523.8
32.143,0.198,2.17,186.883,3523.9
31.166,0.197,2.164,186.822,3524.0
32.751,0.195,2.16,165.492,3524.1
34.173,0.192,2.159,146.728,3524.2
32.826,0.19,2.161,145.054,3524.3
32.648,0.192,2.164,152.285,3524.4
33.202,0.192,2.165,132.997,3524.5
34.132,0.199,2.163,122.352,3524.6
34.147,0.201,2.16,106.988,3524.7
31.309,0.202,2.156,83.962,3524.8
32.34,0.202,2.152,80.006,3524.9
31.465,0.202,2.15,73.851,3525.0
31.618,0.199,2.146,72.242,3525.1
32.811,0.2,2.141,70.858,3525.2
32.876,0.206,2.136,67.407,3525.3
31.189,0.211,2.133,64.804,3525.4
30.312,0.215,2.131,57.999,3525.5
30.44,0.217,2.13,55.992,3525.6
31.241,0.215,2.13,52.351,3525.7
31.897,0.21,2.129,51.004,3525.8
29.808,0.205,2.128,48.786,3525.9
28.107,0.203,2.126,46.302,3526.0
27.328,0.202,2.125,45.58,3526.1
26.805,0.203,2.124,45.055,3526.2
27.922,0.203,2.125,42.713,3526.3
27.989,0.204,2.126,42.555,3526.4
28.609,0.204,2.128,42.862,3526.5
27.473,0.203,2.131,38.882,3526.6
27.091,0.202,2.135,35.531,3526.7
27.81,0.203,2.139,31.121,3526.8
27.278,0.205,2.143,29.962,3526.9
27.228,0.208,2.149,27.875,3527.0
29.167,0.21,2.155,26.185,3527.1
28.402,0.211,2.16,25.604,3527.2
28.601,0.21,2.166,25.455,3527.3
28.921,0.21,2.172,20.669,3527.4
28.996,0.212,2.179,15.171,3527.5
29.748,0.214,2.186,10.376,3527.6
29.659,0.216,2.19,6.919,3527.7
28.623,0.219,2.192,6.183,3527.8
28.574,0.223,2.194,4.9,3527.9
29.149,0.227,2.197,4.564,3528.0
29.803,0.231,2.197,4.188,3528.1
29.197,0.232,2.196,3.876,3528.2
31.336,0.231,2.194,3.473,3528.3
29.994,0.229,2.192,3.36,3528.4
29.073,0.227,2.189,3.318,3528.5
28.627,0.226,2.186,3.044,3528.6
