DEPTH,DT,GR,NPHI,RHOB,RT,DEPTH
2625.9,102.6156,64.0889,0.3101,2.3191,0.7571,2625.9
2626.0,102.1193,65.3036,0.3125,2.31,0.7128,2626.0
2626.1,100.4919,65.8204,0.3123,2.3053,0.6801,2626.1
2626.2,98.8373,63.8838,0.3105,2.3042,0.683,2626.2
2626.3,97.2181,63.395,0.3086,2.3035,0.6942,2626.3
2626.4,95.2177,60.8376,0.3062,2.3011,0.7081,2626.4
2626.5,93.4831,59.2206,0.3034,2.2978,0.6928,2626.5
2626.6,92.2419,58.1429,0.3024,2.2967,0.6262,2626.6
2626.7,91.4229,56.2911,0.3037,2.3009,0.5868,2626.7
2626.8,90.8881,58.5531,0.3072,2.3117,0.6668,2626.8
2626.9,90.7796,60.7687,0.3109,2.3302,0.8338,2626.9
2627.0,90.9922,61.6169,0.3126,2.3536,0.9503,2627.0
2627.1,91.271,64.834,0.3129,2.3768,1.0207,2627.1
2627.2,91.5272,65.75,0.3127,2.3916,1.0667,2627.2
2627.3,91.6892,64.905,0.3121,2.3924,1.0812,2627.3
2627.4,91.8249,63.2879,0.3104,2.3819,1.0654,2627.4
2627.5,91.9702,61.1948,0.3063,2.3677,1.0369,2627.5
2627.6,92.1841,61.1015,0.3019,2.3586,0.9965,2627.6
2627.7,92.4595,59.5523,0.2998,2.358,0.9459,2627.7
2627.8,92.8793,59.9791,0.3003,2.3633,0.9142,2627.8
2627.9,93.0963,59.8588,0.3008,2.3684,0.9102,2627.9
2628.0,93.283,59.8345,0.2988,2.367,0.9025,2628.0
2628.1,93.8964,58.245,0.2937,2.355,0.9279,2628.1
2628.2,94.3671,55.3971,0.2863,2.3298,0.9989,2628.2
2628.3,94.7694,50.5684,0.2779,2.2953,0.925,2628.3
2628.4,95.3575,45.1152,0.2706,2.2603,0.6809,2628.4
2628.5,95.8879,40.0956,0.2658,2.2335,0.5314,2628.5
2628.6,96.3848,38.0239,0.2632,2.2188,0.4744,2628.6
2628.7,97.0757,37.5006,0.262,2.2138,0.447,2628.7
2628.8,97.6895,36.9548,0.2613,2.2134,0.4228,2628.8
2628.9,98.2334,36.5421,0.2607,2.2132,0.4101,2628.9
2629.0,98.5178,36.7021,0.2601,2.2124,0.4055,2629.0
2629.1,98.7811,36.912,0.2601,2.2112,0.4032,2629.1
2629.2,99.0199,35.8536,0.2619,2.21,0.4026,2629.2
2629.3,98.9793,36.0508,0.2656,2.2089,0.404,2629.3
2629.4,98.7835,34.396,0.2692,2.2088,0.4058,2629.4
2629.5,98.3984,33.5344,0.2715,2.2102,0.4085,2629.5
2629.6,97.7637,35.4338,0.2756,2.2122,0.4129,2629.6
2629.7,96.9834,37.6838,0.2843,2.2145,0.4141,2629.7
2629.8,96.0086,40.0637,0.2973,2.2184,0.4133,2629.8
2629.9,95.2099,42.217,0.3093,2.229,0.4294,2629.9
2630.0,94.5157,48.0255,0.3155,2.2507,0.4836,2630.0
2630.1,93.9721,51.8924,0.3145,2.2824,0.5856,2630.1
2630.2,93.5866,57.2337,0.3086,2.3178,0.7022,2630.2
2630.3,93.3148,59.845,0.3007,2.348,0.7541,2630.3
2630.4,93.2347,58.6655,0.2926,2.3663,0.7812,2630.4
2630.5,93.1398,57.7188,0.2854,2.3683,0.7662,2630.5
2630.6,93.1005,51.7187,0.2794,2.3512,0.6803,2630.6
2630.7,93.2567,46.8338,0.2754,2.318,0.5188,2630.7
2630.8,92.9516,41.9276,0.2732,2.2779,0.4215,2630.8
2630.9,92.5058,37.8952,0.2718,2.2412,0.3843,2630.9
2631.0,92.2656,34.1413,0.2705,2.2164,0.3742,2631.0
2631.1,92.0817,35.0952,0.2691,2.2047,0.3734,2631.1
2631.2,91.9566,34.0025,0.2678,2.2005,0.3808,2631.2
2631.3,92.0168,34.1318,0.2674,2.1996,0.3873,2631.3
2631.4,92.1317,33.8293,0.2674,2.2007,0.3897,2631.4
2631.5,92.2696,33.5298,0.2669,2.2027,0.3893,2631.5
2631.6,92.297,32.6135,0.2652,2.2048,0.3902,2631.6
2631.7,92.3132,32.9782,0.2627,2.2068,0.3927,2631.7
2631.8,92.3187,33.6536,0.2598,2.2095,0.3969,2631.8
2631.9,92.2802,34.0123,0.2569,2.2129,0.4001,2631.9
2632.0,92.2385,34.7653,0.2541,2.2165,0.404,2632.0
2632.1,92.1937,34.2607,0.252,2.2193,0.4073,2632.1
2632.2,92.1463,34.8768,0.2509,2.2208,0.4114,2632.2
2632.3,92.1089,36.5126,0.2505,2.2215,0.4153,2632.3
2632.4,92.0836,36.157,0.2499,2.2212,0.4167,2632.4
2632.5,92.1862,35.8886,0.2495,2.2206,0.4167,2632.5
2632.6,92.3372,37.0134,0.2506,2.2203,0.415,2632.6
2632.7,92.5446,37.3712,0.2535,2.2207,0.4122,2632.7
2632.8,92.7718,35.3486,0.2567,2.2219,0.4093,2632.8
2632.9,92.9578,34.4599,0.2574,2.223,0.4096,2632.9
2633.0,93.0708,34.3619,0.2555,2.2244,0.4118,2633.0
2633.1,92.9898,36.9306,0.2526,2.226,0.4143,2633.1
2633.2,92.822,36.1044,0.251,2.2271,0.4168,2633.2
2633.3,92.5458,34.6799,0.2503,2.2269,0.4178,2633.3
2633.4,92.207,33.574,0.2485,2.2252,0.4172,2633.4
2633.5,91.8622,33.3889,0.2457,2.2231,0.4147,2633.5
2633.6,91.5421,32.9469,0.2441,2.2227,0.4107,2633.6
2633.7,91.4035,33.0943,0.2457,2.2243,0.4098,2633.7
2633.8,91.3186,35.3294,0.2494,2.2271,0.4095,2633.8
2633.9,91.2155,36.4931,0.2525,2.2295,0.4114,2633.9
2634.0,91.205,35.3781,0.2527,2.2305,0.4142,2634.0
2634.1,91.2119,34.1349,0.2504,2.2301,0.4177,2634.1
2634.2,91.1247,35.3866,0.2484,2.2289,0.4199,2634.2
2634.3,91.0268,34.309,0.2483,2.2275,0.4199,2634.3
2634.4,90.9245,34.9622,0.2499,2.2266,0.4195,2634.4
2634.5,90.829,35.1179,0.2516,2.2261,0.4194,2634.5
2634.6,90.7358,35.0468,0.2517,2.226,0.4202,2634.6
2634.7,90.6454,34.4397,0.2508,2.2254,0.4225,2634.7
2634.8,90.5702,35.3303,0.2511,2.2242,0.4262,2634.8
2634.9,90.4106,36.8317,0.2523,2.2228,0.428,2634.9
2635.0,90.1879,35.5066,0.2524,2.2222,0.4279,2635.0
2635.1,90.0263,34.1125,0.2496,2.2225,0.4259,2635.1
2635.2,89.8934,33.7836,0.2449,2.2233,0.4224,2635.2
2635.3,89.7863,34.0339,0.2411,2.2242,0.4198,2635.3
2635.4,89.7747,33.5301,0.2397,2.2263,0.4197,2635.4
2635.5,89.7734,32.7657,0.2404,2.2301,0.4205,2635.5
2635.6,89.784,31.9588,0.2416,2.2355,0.4277,2635.6
2635.7,89.8499,31.4691,0.241,2.2416,0.4404,2635.7
2635.8,89.9511,31.7495,0.2371,2.247,0.453,2635.8
2635.9,90.0965,32.182,0.2301,2.2514,0.4534,2635.9
2636.0,90.2394,33.5628,0.2222,2.2544,0.4481,2636.0
2636.1,90.3896,35.9991,0.2161,2.2557,0.4472,2636.1
2636.2,90.5527,35.0325,0.2169,2.2526,0.4438,2636.2
2636.3,90.7043,34.0674,0.2178,2.2495,0.4423,2636.3
2636.4,90.8201,33.8555,0.2241,2.2453,0.4355,2636.4
2636.5,90.8649,34.2783,0.2305,2.2428,0.4263,2636.5
2636.6,90.8566,33.6027,0.2347,2.2415,0.4211,2636.6
2636.7,90.8497,33.4967,0.2364,2.2402,0.4156,2636.7
2636.8,90.8821,33.9941,0.2357,2.2387,0.415,2636.8
2636.9,90.9193,35.3206,0.2341,2.2374,0.4183,2636.9
2637.0,90.9619,34.8502,0.2336,2.2363,0.4213,2637.0
2637.1,91.0167,35.2406,0.235,2.2349,0.4237,2637.1
2637.2,91.0252,33.9893,0.238,2.2327,0.4221,2637.2
2637.3,91.0103,34.2277,0.2405,2.2303,0.4207,2637.3
2637.4,90.9788,34.0471,0.2411,2.2285,0.4203,2637.4
2637.5,90.9127,34.1274,0.24,2.2277,0.4206,2637.5
2637.6,90.8262,33.6562,0.2388,2.2279,0.4212,2637.6
2637.7,90.7258,33.3793,0.2381,2.2292,0.4236,2637.7
2637.8,90.6163,32.9152,0.2375,2.2311,0.4259,2637.8
2637.9,90.5042,32.9731,0.2365,2.234,0.4289,2637.9
2638.0,90.4302,32.7557,0.2347,2.2382,0.4332,2638.0
2638.1,90.3928,32.1089,0.2321,2.2437,0.4322,2638.1
2638.2,90.3866,33.1709,0.2303,2.2501,0.4291,2638.2
2638.3,90.4337,33.3301,0.2308,2.2547,0.4243,2638.3
2638.4,90.4832,34.1003,0.2339,2.2549,0.4237,2638.4
2638.5,90.5351,33.1384,0.2375,2.2506,0.4154,2638.5
2638.6,90.6237,32.3198,0.2387,2.2444,0.4021,2638.6
2638.7,90.7422,31.8878,0.2349,2.2396,0.3921,2638.7
2638.8,90.895,32.2036,0.2243,2.2383,0.3949,2638.8
2638.9,91.2166,32.0444,0.2091,2.242,0.4444,2638.9
2639.0,91.6073,31.7147,0.1984,2.2516,0.5997,2639.0
2639.1,92.0799,31.2019,0.1971,2.2651,0.7884,2639.1
2639.2,92.6077,30.5934,0.202,2.2766,0.753,2639.2
2639.3,93.1083,30.4117,0.2098,2.2792,0.5581,2639.3
2639.4,93.5496,31.8836,0.2181,2.2713,0.4373,2639.4
2639.5,93.8778,33.5097,0.2251,2.2579,0.3984,2639.5
2639.6,94.0757,33.0798,0.2291,2.246,0.3967,2639.6
2639.7,94.0403,32.5121,0.2306,2.2387,0.4017,2639.7
2639.8,93.7962,31.2445,0.2312,2.2355,0.4059,2639.8
2639.9,93.4338,31.279,0.2316,2.2352,0.4193,2639.9
2640.0,92.8985,30.9335,0.2315,2.2361,0.4264,2640.0
2640.1,92.4504,32.4143,0.2314,2.2374,0.4241,2640.1
2640.2,92.0816,32.4681,0.2313,2.2382,0.4171,2640.2
2640.3,91.8855,33.8117,0.2315,2.238,0.4138,2640.3
2640.4,91.8136,32.5268,0.2333,2.2364,0.4112,2640.4
2640.5,91.7848,33.8997,0.2363,2.2343,0.4069,2640.5
2640.6,91.7057,34.4789,0.2388,2.2328,0.404,2640.6
2640.7,91.7216,34.2311,0.2398,2.2326,0.4027,2640.7
2640.8,91.7902,34.3565,0.2389,2.233,0.4027,2640.8
2640.9,91.8706,34.1634,0.2366,2.2337,0.4051,2640.9
2641.0,91.9168,33.8664,0.2344,2.2358,0.4062,2641.0
2641.1,91.9318,31.2711,0.2344,2.2391,0.4093,2641.1
2641.2,91.843,30.9359,0.2375,2.2425,0.4122,2641.2
2641.3,91.701,31.1304,0.2416,2.2434,0.4138,2641.3
2641.4,91.5159,31.5785,0.2452,2.2415,0.4152,2641.4
2641.5,91.3184,31.6031,0.2474,2.239,0.4156,2641.5
2641.6,91.1557,32.5914,0.2481,2.2377,0.4154,2641.6
2641.7,91.0271,32.6051,0.2466,2.2379,0.4164,2641.7
2641.8,90.966,33.0674,0.2428,2.2384,0.4172,2641.8
2641.9,90.961,33.5985,0.2387,2.2388,0.4179,2641.9
2642.0,91.021,33.8934,0.2363,2.2388,0.4188,2642.0
2642.1,91.1852,32.2791,0.2364,2.2379,0.4189,2642.1
2642.2,91.3964,31.0653,0.238,2.236,0.4205,2642.2
2642.3,91.6649,32.1805,0.2395,2.2347,0.4205,2642.3
2642.4,91.9454,32.5602,0.2398,2.236,0.4187,2642.4
2642.5,92.2166,32.367,0.2379,2.2393,0.4169,2642.5
2642.6,92.4684,31.258,0.234,2.2426,0.4151,2642.6
2642.7,92.5461,30.4213,0.2301,2.2447,0.4133,2642.7
2642.8,92.549,30.9285,0.2292,2.2453,0.4107,2642.8
2642.9,92.4618,31.5603,0.2313,2.2447,0.4089,2642.9
2643.0,92.2468,31.7447,0.2334,2.2435,0.4084,2643.0
2643.1,92.0206,30.924,0.2324,2.2416,0.4085,2643.1
2643.2,91.8564,30.8748,0.229,2.2403,0.4089,2643.2
2643.3,91.8271,31.5225,0.2265,2.2406,0.4092,2643.3
2643.4,91.8583,31.1955,0.2265,2.2421,0.4124,2643.4
2643.5,91.9379,31.7388,0.229,2.2436,0.4113,2643.5
2643.6,92.0402,30.7751,0.2328,2.2436,0.4076,2643.6
2643.7,92.1489,31.2345,0.2374,2.2413,0.4057,2643.7
2643.8,92.2388,30.4118,0.2422,2.2376,0.4047,2643.8
2643.9,92.3128,30.6896,0.245,2.2347,0.403,2643.9
2644.0,92.3781,32.5304,0.2442,2.2329,0.4017,2644.0
2644.1,92.4442,32.3859,0.2397,2.2316,0.4021,2644.1
2644.2,92.4112,32.6369,0.234,2.2308,0.4044,2644.2
