GR,NPHI,RHOB,RT,DEPTH,DT
9.04,0.077,2.5989999999999998,2.2539199210127645,3198.2,64.42579643949949
9.933,0.071,2.609,2.2500278422553697,3198.3,61.99819476616837
10.037,0.069,2.609,2.247812067146754,3198.4,61.60485137787911
8.748,0.068,2.6060000000000003,2.2524490235002483,3198.5,61.716155945602964
9.243,0.067,2.6010000000000004,2.2446381330391962,3198.6,61.54164263670899
10.262,0.066,2.5980000000000003,2.2539199210127645,3198.7,60.6461995954542
10.179,0.064,2.597,2.258633205464863,3198.8,60.47396732772968
9.568999999999999,0.064,2.597,2.246120556012919,3198.9,60.52943785311693
9.001,0.065,2.596,2.2149553430330715,3199.0,60.70818763587699
7.858,0.068,2.594,2.2003308589552892,3199.1,61.605087260148224
7.385,0.071,2.592,2.2042001910726445,3199.2,62.26462001664146
7.9479999999999995,0.071,2.591,2.1962240770026358,3199.3,62.021475718023346
8.522,0.073,2.593,2.203206649013767,3199.4,62.62778818716215
8.955,0.073,2.5980000000000003,2.1935511719699106,3199.5,63.35701646438506
9.154,0.07200000000000001,2.603,2.1839141632763672,3199.6,62.430394169656466
9.556000000000001,0.07200000000000001,2.6069999999999998,2.1740696707586182,3199.7,62.319416863346305
9.4,0.07200000000000001,2.608,2.1641272998464784,3199.8,62.24487352151591
9.171,0.073,2.6069999999999998,2.1394777551238953,3199.9,63.35479571010526
9.347999999999999,0.075,2.605,2.119983496992772,3200.0,64.07777332984561
9.362,0.077,2.602,2.114929334609389,3200.1,64.54075816902984
9.545,0.078,2.5989999999999998,2.1098494978512186,3200.2,64.75323733698262
11.152999999999999,0.079,2.594,2.1048655940199943,3200.3,64.14842978008974
12.592,0.078,2.589,2.0998567264224284,3200.4,64.71664167301756
12.644,0.075,2.5869999999999997,2.12835074638271,3200.5,64.52942160073754
13.029000000000002,0.07400000000000001,2.589,2.1162555148025524,3200.6,64.07423174773832
13.167,0.07400000000000001,2.594,2.1160145219106763,3200.7,64.02757336330085
13.245999999999999,0.075,2.5989999999999998,2.1163759894728984,3200.8,64.82402323519392
13.015,0.076,2.603,2.095068797565535,3200.9,64.79333369644809
13.116,0.077,2.6039999999999996,2.1321525805925043,3201.0,64.80201758456695
13.837,0.077,2.6010000000000004,2.1547808982256513,3201.1,64.69021688536533
13.227,0.078,2.5989999999999998,2.1716788231462467,3201.2,64.80832713768449
13.795,0.079,2.5980000000000003,2.1810951954063356,3201.3,64.61882634482691
14.341,0.078,2.6010000000000004,2.164586594836755,3201.4,64.80950177274228
14.353,0.08,2.6039999999999996,2.095068797565535,3201.5,64.61054917423515
16.054000000000002,0.081,2.6060000000000003,2.09038148171817,3201.6,63.882746999342004
18.135,0.081,2.6039999999999996,2.0954379147644353,3201.7,62.672248734088136
20.566,0.081,2.602,2.0989990408953667,3201.8,63.522398958118295
20.735,0.079,2.602,2.1173392646828444,3201.9,64.14596338783966
19.704,0.075,2.605,2.13853558098754,3202.0,64.63431411109266
17.959,0.069,2.608,2.1583682422336365,3202.1,60.388756574330664
15.662,0.064,2.61,2.1763413664197953,3202.2,59.777289912796306
13.52,0.06,2.612,2.2035379393928114,3202.3,60.94692512621443
10.747,0.059000000000000004,2.614,2.227106951818089,3202.4,60.24659187809746
9.619,0.059000000000000004,2.617,2.2159372862683733,3202.5,60.368479323505916
8.816,0.061,2.6180000000000003,2.215282764591249,3202.6,60.611984282268594
8.262,0.064,2.616,2.221591933784514,3202.7,61.39808913832271
8.138,0.068,2.611,2.219746814685041,3202.8,61.818069859393134
8.138,0.07,2.6039999999999996,2.217353948631385,3202.9,62.11787057118917
9.435,0.07,2.6,2.211456159582944,3203.0,62.51392538932195
10.003,0.069,2.5980000000000003,2.1977799786279193,3203.1,61.93163931799309
9.591000000000001,0.069,2.5980000000000003,2.1815467646169897,3203.2,62.114983255370525
9.745,0.068,2.5989999999999998,2.1661924680884908,3203.3,61.77886850646627
9.738999999999999,0.068,2.6010000000000004,2.1403014299365983,3203.4,61.68951235415362
9.561,0.068,2.6039999999999996,2.1522272114054837,3203.5,61.700505693289024
8.704,0.066,2.605,2.1564025828159643,3203.6,61.08512276028302
7.853,0.064,2.6039999999999996,2.1528081676758175,3203.7,61.57296106316673
7.555,0.063,2.6010000000000004,2.149433913499871,3203.8,61.78143101517556
6.956,0.062,2.5989999999999998,2.131796772013764,3203.9,61.00016862155876
6.327000000000001,0.061,2.6,2.103768233670894,3204.0,61.01137354471454
6.507999999999999,0.061,2.603,2.1059617514892315,3204.1,61.121500160063555
6.104,0.062,2.6060000000000003,2.0751824847594524,3204.2,61.063982286747574
6.422000000000001,0.066,2.608,2.0693912058263346,3204.3,61.796925050328596
6.337999999999999,0.073,2.6069999999999998,2.0748058132753076,3204.4,61.61492976321115
5.787000000000001,0.079,2.603,2.0914936227039775,3204.5,62.626363307655716
7.03,0.086,2.595,2.0932211650882078,3204.6,64.15960601293034
9.208,0.092,2.588,1.9631885848555861,3204.7,65.00611182878687
12.312999999999999,0.09699999999999999,2.583,1.8368921593353946,3204.8,69.83434521848385
15.883,0.10099999999999999,2.58,1.7568228993471586,3204.9,69.69413811175129
18.757,0.10300000000000001,2.5780000000000003,1.7270431545083638,3205.0,67.90472231936607
20.085,0.102,2.5780000000000003,1.7907589688944714,3205.1,67.16133189946378
21.209,0.099,2.5810000000000004,1.9173636913629237,3205.2,66.81492445306104
23.076,0.09300000000000001,2.588,1.9446236075298482,3205.3,69.33883823027129
22.074,0.087,2.596,1.9104309989455537,3205.4,61.287284462407094
19.757,0.081,2.6039999999999996,1.7552683606456398,3205.5,63.38872335272362
18.18,0.076,2.6069999999999998,1.7448425494403033,3205.6,63.87755629735989
15.8,0.071,2.608,1.7332471981603867,3205.7,63.079582434000415
13.735999999999999,0.067,2.6060000000000003,1.8767131751082187,3205.8,62.20696826938068
11.588,0.064,2.602,1.8562979903656263,3205.9,62.64476147614065
9.156,0.064,2.5980000000000003,1.9480507135544243,3206.0,61.13059009108735
9.458,0.065,2.597,2.0639471207211875,3206.1,60.85940551883228
12.29,0.065,2.5980000000000003,2.037055825183398,3206.2,61.055877473173
12.98,0.068,2.6,2.036142523534684,3206.3,61.870298447511935
12.994000000000002,0.07200000000000001,2.6010000000000004,2.031301166351901,3206.4,62.83081672129138
14.464,0.075,2.6010000000000004,2.034182635274221,3206.5,64.75930643530953
16.012,0.077,2.6,2.027226770231097,3206.6,64.42845014099662
15.904000000000002,0.079,2.5989999999999998,2.0403108244767973,3206.7,64.25302757415025
16.774,0.08,2.597,2.0405707672908426,3206.8,63.98798421136191
17.483,0.081,2.595,2.024721329479603,3206.9,63.45856031161112
17.805,0.08199999999999999,2.592,2.025249312596409,3207.0,63.197104692430976
18.792,0.085,2.59,1.9851308622085946,3207.1,62.68315442581512
20.633000000000003,0.08900000000000001,2.589,1.9630481649999878,3207.2,61.735476719731714
21.248,0.094,2.585,1.9873262527720303,3207.3,66.20248663045743
21.914,0.098,2.5789999999999997,2.052969221348721,3207.4,69.68028998706758
22.648000000000003,0.1,2.572,2.060513531794317,3207.5,73.38519685049768
21.772,0.098,2.5669999999999997,2.0006688605144403,3207.6,69.57312718013108
19.932000000000002,0.095,2.5639999999999996,1.9090979616452883,3207.7,65.48036516532441
16.897000000000002,0.09,2.5660000000000003,1.9095425048844386,3207.8,62.88232069118651
14.429,0.085,2.57,1.9033008439609622,3207.9,64.0453533032862
12.924000000000001,0.081,2.575,1.9249783130142777,3208.0,63.76765941095233
11.15,0.078,2.58,1.9245405804618736,3208.1,63.220772618600265
10.463,0.077,2.583,1.9241026562157681,3208.2,63.83268933369824
