DEPTH,DT,GR,NPHI,RHOB,RT,DEPTH
1379.5248,147.175292,116.938903,0.50410002,1.59430003,0.9652,1379.5248
1379.6772,146.852294,124.008598,0.50340002,1.6071,1.39390003,1379.6772
1379.8296,148.925796,127.859802,0.55150002,1.61119997,1.02919995,1379.8296
1379.982,148.807907,136.029907,0.5126,1.60609996,0.8524,1379.982
1380.1344,144.274093,136.497497,0.4959,1.59370005,0.9627,1380.1344
1380.2868,143.916793,134.379302,0.52759999,1.60029995,1.00230002,1380.2868
1380.4392,144.626602,132.646301,0.51590001,1.62759995,0.90579998,1380.4392
1380.5916,142.939895,126.952003,0.5938,1.63039994,0.88239997,1380.5916
1380.744,143.385604,125.219001,0.5514,1.6272,0.89420002,1380.744
1380.8964,146.108093,121.835403,0.5471,1.6279,0.90820002,1380.8964
1381.0488,149.312606,122.853302,0.53219997,1.64769995,1.02279996,1381.0488
1381.2012,149.278198,124.228698,0.51300001,1.6552,1.04709994,1381.2012
1381.3536,147.801605,125.219001,0.52139997,1.64680004,1.01279997,1381.3536
1381.506,141.745101,126.869499,0.49439999,1.63259994,1.05649995,1381.506
1381.6584,140.881103,128.244903,0.4605,1.62320005,1.03600001,1381.6584
1381.8108,143.951095,125.494102,0.4722,1.62100005,1.06500005,1381.8108
1381.9632,146.142501,123.3759,0.53079998,1.6308,1.04200005,1381.9632
1382.1156,150.568298,120.074897,0.54559999,1.65289998,0.98949998,1382.1156
1382.268,146.744293,121.917999,0.4979,1.70710003,0.81489998,1382.268
1382.4204,144.616699,126.952003,0.43189999,1.75709998,1.09539997,1382.4204
1382.5728,142.543197,127.777297,0.47319999,1.76180005,0.94340002,1382.5728
1382.7252,142.734802,126.209297,0.44299998,1.72940003,0.94029998,1382.7252
1382.8776,150.056793,125.219001,0.46,1.70679998,1.03250002,1382.8776
1383.03,148.925796,132.013595,0.41719999,1.7069,0.94050002,1383.03
1383.1824,148.788299,135.782302,0.43470001,1.70650005,0.9404,1383.1824
1383.3348,143.466094,132.756393,0.49509999,1.69179999,0.94160002,1383.3348
1383.4872,141.789199,126.952102,0.56389999,1.69200003,0.9828,1383.4872
1383.6396,142.523605,123.375999,0.56620001,1.6875,1.00020003,1383.6396
1383.792,141.862899,123.568496,0.53240001,1.69260001,1.03439998,1383.792
1383.9444,145.424804,121.560401,0.49630001,1.68879997,0.88770002,1383.9444
1384.0968,144.7444,117.049003,0.65200001,1.71689999,0.94370001,1384.0968
1384.2492,147.552307,116.306297,0.56389999,1.75610005,0.972,1384.2492
1384.4016,146.778594,119.689796,0.58789998,1.79069995,1.01839995,1384.4016
1384.554,146.078704,125.109001,0.47389999,1.77639997,1.08210003,1384.554
1384.7064,148.137405,129.317794,0.48750001,1.74160003,0.99910002,1384.7064
1384.8588,147.434402,131.546005,0.47269999,1.71389997,1.00090003,1384.8588
1385.0112,142.131896,131.821105,0.58149999,1.71200001,1.01429998,1385.0112
1385.1636,141.253204,131.656005,0.74760001,1.71019995,1.0309,1385.1636
1385.316,143.693893,134.847,0.76219999,1.71309995,1.04200005,1385.316
1385.4684,143.405303,138.340606,0.60900002,1.70879995,1.02149999,1385.4684
1385.6208,146.714797,136.414993,0.5144,1.71570003,1.04359996,1385.6208
1385.7732,143.574096,132.673797,0.51849997,1.71679997,1.04970002,1385.7732
1385.9256,145.980392,129.097702,0.42059999,1.72290003,0.95329999,1385.9256
1386.078,144.264297,129.730392,0.38319998,1.71599996,0.96939998,1386.078
1386.2304,143.466094,127.337196,0.35949999,1.70650005,1.00820004,1386.2304
1386.3828,141.700897,124.393798,0.36629998,1.694,1.02409994,1386.3828
1386.5352,139.120803,122.4682,0.41639998,1.71449995,0.98760002,1386.5352
1386.6876,141.466293,124.861396,0.45320001,1.73169994,1.02209997,1386.6876
1386.84,144.680603,128.630096,0.59390002,1.78180003,0.96429997,1386.84
1386.9924,145.082107,130.555694,0.51270002,1.80139994,1.03419995,1386.9924
1387.1448,146.009902,129.895492,0.47299998,1.83669996,1.00750005,1387.1448
1387.2972,145.478805,129.152801,0.44359999,1.86059999,1.10739994,1387.2972
1387.4496,146.808105,127.777297,0.4704,1.89470005,0.97049999,1387.4496
1387.602,147.253906,126.511901,0.4562,1.89450001,1.04120004,1387.602
1387.7544,149.892807,128.630096,0.38989999,1.88020002,0.96859997,1387.7544
1387.9068,149.868301,130.280593,0.34299999,1.83700001,0.91729998,1387.9068
1388.0592,148.881607,132.206207,0.3515,1.81340003,1.00600004,1388.0592
1388.2116,147.155593,133.939193,0.37889999,1.78859996,1.05620002,1388.2116
1388.364,146.044296,133.554092,0.50300002,1.78199994,1.03849995,1388.364
1388.5164,146.817901,129.867996,0.57669997,1.7953,1.02839994,1388.5164
1388.6688,147.542404,126.209297,0.66469997,1.80649995,1.01329994,1388.6688
1388.8212,146.450698,126.1268,0.5453,1.8104,0.9508,1388.8212
1388.9736,147.948898,126.401901,0.65390002,1.78550004,0.95450001,1388.9736
1389.126,147.606292,123.926101,0.62040001,1.78170001,1.00409996,1389.126
1389.2784,148.871795,123.486,0.63319998,1.79390001,1.00919997,1389.2784
1389.4308,146.7639,127.804801,0.55650001,1.81889998,1.08130002,1389.4308
1389.5832,145.4346,131.105895,0.64529997,1.81780004,1.06949996,1389.5832
1389.7356,145.082107,132.646301,0.57319998,1.82579994,1.09399998,1389.7356
1389.888,146.024597,134.021804,0.42519998,1.82249999,1.02310001,1389.888
1390.0404,146.0345,135.864807,0.41539999,1.84089994,1.03180003,1390.0404
1390.1928,146.357406,138.615707,0.4715,1.82889997,1.07579994,1390.1928
1390.3452,144.293792,138.615707,0.51219999,1.83220005,1.00859999,1390.3452
1390.4976,144.606903,138.505599,0.46279999,1.82219994,0.96299999,1390.4976
1390.65,142.195693,138.423095,0.41549998,1.83080005,0.97409999,1390.65
1390.8024,143.654602,137.873001,0.4174,1.82840001,1.04390001,1390.8024
1390.9548,141.872695,137.047698,0.41929998,1.82449996,1.11759996,1390.9548
1391.1072,145.7919,132.838897,0.48879998,1.79620003,1.14919996,1391.1072
1391.2596,144.303604,133.031402,0.50099998,1.78110003,1.07519996,1391.2596
1391.412,145.013397,136.607604,0.3912,1.78729999,1.07770001,1391.412
1391.5644,143.316894,141.641601,0.37940001,1.81930005,1.06669998,1391.5644
1391.7168,143.459304,142.824493,0.3513,1.84300005,1.05490005,1391.7168
1391.8692,148.891403,146.318099,0.4749,1.83800005,1.06439995,1391.8692
1392.0216,147.562103,143.732299,0.41049998,1.83080005,1.07459998,1392.0216
1392.174,147.185104,141.696594,0.46579998,1.83060002,1.07149994,1392.174
1392.3264,147.003402,140.871398,0.42149999,1.84759998,1.12899994,1392.3264
1392.4788,140.362899,146.758193,0.5137,1.85950005,1.09479999,1392.4788
1392.6312,153.161193,149.894195,0.42129999,1.87380003,1.11549997,1392.6312
1392.7836,152.372802,147.418395,0.4275,1.89119994,1.05939996,1392.7836
1392.936,150.964904,147.693496,0.36149999,1.91449999,1.04569995,1392.936
1393.0884,147.5867,144.942703,0.39199998,1.94270002,1.08179998,1393.0884
1393.2408,148.225799,143.182098,0.3671,1.94529998,1.14779996,1393.2408
1393.3932,150.9207,140.788894,0.43399998,1.95580005,1.16129994,1393.3932
1393.5456,145.953994,141.504104,0.4244,1.94289994,1.18949997,1393.5456
1393.698,150.622299,141.806701,0.43200001,1.94990003,1.18369996,1393.698
1393.8504,148.807907,143.732299,0.4632,1.94239997,1.15659999,1393.8504
1394.0028,144.283905,146.675704,0.474,1.94920003,1.11960005,1394.0028
1394.1552,144.3134,145.932998,0.48449999,1.95439994,1.1739,1394.1552
1394.3076,145.503295,143.182098,0.43119999,1.93659996,1.21280002,1394.3076
1394.46,147.912597,141.724197,0.4508,1.89250004,1.16289997,1394.46
1394.6124,153.592193,142.164306,0.4253,1.85679996,1.1624,1394.6124
