DEPTH,DT,GR,NPHI,RHOB,RT,DEPTH
2587.5,78.93,55.184,0.424,2.218,0.441,2587.5
2587.6,79.553,59.479,0.428,2.22,0.436,2587.6
2587.7,80.765,57.517,0.402,2.219,0.452,2587.7
2587.8,81.784,49.642,0.362,2.214,0.443,2587.8
2587.9,82.595,40.443,0.317,2.205,0.419,2587.9
2588.0,84.142,33.009,0.279,2.195,0.398,2588.0
2588.1,85.2,27.772,0.258,2.185,0.396,2588.1
2588.2,85.562,26.554,0.249,2.18,0.409,2588.2
2588.3,85.596,25.661,0.246,2.183,0.429,2588.3
2588.4,85.021,25.427,0.243,2.193,0.448,2588.4
2588.5,83.764,25.686,0.236,2.209,0.45,2588.5
2588.6,82.533,24.855,0.226,2.224,0.455,2588.6
2588.7,81.413,25.02,0.218,2.236,0.454,2588.7
2588.8,80.262,25.629,0.213,2.245,0.457,2588.8
2588.9,79.44,26.665,0.211,2.253,0.462,2588.9
2589.0,79.686,26.043,0.213,2.259,0.472,2589.0
2589.1,80.948,26.184,0.213,2.263,0.497,2589.1
2589.2,82.573,26.654,0.21,2.264,0.55,2589.2
2589.3,83.305,26.756,0.21,2.263,0.584,2589.3
2589.4,84.037,26.857,0.209,2.262,0.607,2589.4
2589.5,85.18,26.987,0.21,2.261,0.617,2589.5
2589.6,86.107,27.086,0.208,2.26,0.604,2589.6
2589.7,86.693,26.362,0.206,2.261,0.651,2589.7
2589.8,87.478,26.146,0.207,2.261,0.693,2589.8
2589.9,88.356,26.847,0.206,2.26,0.789,2589.9
2590.0,88.975,27.646,0.208,2.259,0.852,2590.0
2590.1,89.41,27.428,0.214,2.259,0.959,2590.1
2590.2,89.685,29.921,0.226,2.264,1.056,2590.2
2590.3,89.523,35.445,0.239,2.275,1.185,2590.3
2590.4,88.939,41.969,0.248,2.297,1.318,2590.4
2590.5,87.974,46.436,0.254,2.329,1.406,2590.5
2590.6,87.208,49.185,0.254,2.368,1.537,2590.6
2590.7,86.061,48.965,0.253,2.408,1.736,2590.7
2590.8,84.494,52.202,0.252,2.441,1.797,2590.8
2590.9,83.733,56.954,0.254,2.462,1.845,2590.9
2591.0,83.249,57.067,0.255,2.472,1.664,2591.0
2591.1,83.084,54.373,0.253,2.471,1.455,2591.1
2591.2,83.544,48.03,0.25,2.455,1.257,2591.2
2591.3,84.149,42.92,0.244,2.419,1.154,2591.3
2591.4,84.882,40.414,0.242,2.365,1.103,2591.4
2591.5,85.576,39.801,0.244,2.316,0.947,2591.5
2591.6,86.27,38.956,0.244,2.286,0.753,2591.6
2591.7,86.627,38.122,0.246,2.277,0.686,2591.7
2591.8,86.983,37.29,0.247,2.267,0.644,2591.8
2591.9,87.977,36.951,0.252,2.252,0.627,2591.9
2592.0,89.088,35.339,0.251,2.239,0.573,2592.0
2592.1,90.327,34.695,0.252,2.228,0.562,2592.1
2592.2,91.608,34.101,0.254,2.219,0.552,2592.2
2592.3,93.05,33.614,0.256,2.211,0.521,2592.3
2592.4,94.969,33.458,0.258,2.202,0.476,2592.4
2592.5,97.434,33.625,0.265,2.193,0.437,2592.5
2592.6,100.118,34.971,0.274,2.184,0.441,2592.6
2592.7,102.795,36.186,0.291,2.177,0.422,2592.7
2592.8,104.933,37.457,0.318,2.174,0.419,2592.8
2592.9,106.685,40.557,0.354,2.178,0.428,2592.9
2593.0,107.75,46.431,0.387,2.193,0.495,2593.0
2593.1,108.503,54.663,0.411,2.215,0.566,2593.1
2593.2,108.977,64.582,0.413,2.235,0.605,2593.2
2593.3,108.622,70.507,0.389,2.241,0.677,2593.3
2593.4,108.449,66.063,0.348,2.227,0.639,2593.4
2593.5,108.401,60.506,0.321,2.201,0.579,2593.5
2593.6,108.09,53.814,0.307,2.186,0.516,2593.6
2593.7,108.601,49.455,0.31,2.192,0.529,2593.7
2593.8,109.874,49.271,0.327,2.21,0.524,2593.8
2593.9,111.153,53.365,0.348,2.231,0.602,2593.9
2594.0,111.928,57.1,0.361,2.241,0.67,2594.0
2594.1,112.703,60.842,0.374,2.251,0.693,2594.1
2594.2,114.548,68.804,0.398,2.274,0.742,2594.2
2594.3,115.486,76.88,0.426,2.299,0.759,2594.3
2594.4,116.454,83.885,0.445,2.322,0.75,2594.4
2594.5,117.528,84.167,0.453,2.335,0.759,2594.5
2594.6,119.132,85.249,0.439,2.338,0.783,2594.6
2594.7,120.351,83.27,0.403,2.336,0.839,2594.7
2594.8,120.839,79.72,0.362,2.334,0.885,2594.8
